Numero,Numero,ComplexitePercu,ComplexiteLitterature,Effort,MeanPhasic,MedianPhasic,STDPhasic,MeanTonic,MedianTonic,STDTonic,NPeaks,AUC,MaxAmplitudes,SumAmplitudes,MeanAmplitudes,Kurtosis,Skewness,Zp99,SkewnessXzp99,SumAmplitudesXNPeaks
1,1.0,3.125,3.1,nan,-0.0008539773084379769,-0.0032258126710916785,0.02049376899745667,3.4473177182633608,3.4427064764375706,0.02063864847804183,13.5,-0.1740549806264139,0.0668390237054274,0.1892927440392816,0.0009965064223088848,2.146824234037615,0.9398421225555533,0.05749128022249636,0.05919288484443878,1.389405046517481
2,2.0,3.25,3.2,nan,-0.0006714522556453424,-0.001857303476996614,0.01958070057302553,3.49306353632396,3.4889312809031785,0.03413331043378316,11.75,-0.13073418019801994,0.07519321599725484,0.20812866068530142,0.0010989166381046166,2.7329363932001343,0.5879166725690841,0.04999095829294808,0.022656830138906,1.5714652640780025
3,3.0,4.125,3.1,nan,-0.001237170886498689,-0.008335213250866065,0.03287146455741595,2.4818310629128155,2.475470052737282,0.02527562999386112,12.875,-0.258111403775772,0.13306057160127258,0.29055377183164144,0.001531347097098361,2.154386594198467,0.5791789149842412,0.0956072879956089,0.13304782607612067,1.9176213879208677
4,4.0,2.875,2.6,nan,-0.0005804670000824136,-0.00525889026091851,0.03359714003169615,3.498038022350568,3.4975955475255702,0.039125939221942845,11.0,-0.12376527087009963,0.14094937437081032,0.39349690274191884,0.0020805637863617723,4.466853838490036,-0.10334042896512088,0.0904788036589291,0.06881839536615632,4.2902117750208575
5,5.0,3.75,2.8,nan,0.0003323661076750601,-0.008491653478009216,0.046469426336507656,3.23991452211471,3.2477649280671677,0.032152756285205614,8.125,0.027876551313229143,0.23623740080693056,0.2821050460053226,0.0014925164685937766,8.006426945037058,0.36051654020990187,0.15799783647868135,0.28540980504789426,1.2436420046842862
6,6.0,3.75,2.5,nan,0.004559415225347004,-0.0026219580847346158,0.03405572398051082,2.174874650030793,2.1792706107343016,0.035367364947533966,9.375,0.8514576075413764,0.08660478707836022,0.20300459282360206,0.001072852190106398,6.102060712579783,-0.4501752926066895,0.09307895069510431,0.12851914356916688,1.6237840865693602
7,7.0,3.5,2.4,nan,-0.002409536916987501,-0.007456127882743644,0.04341743360297767,3.1026437548804453,3.1055936537052418,0.04285729375863443,10.0,-0.46128106728018514,0.17483691236821455,0.40277886954740194,0.002120625076126304,4.563027814542469,-0.16696016100046931,0.11496685690414743,0.0911811215977574,2.6003640339389755
8,8.0,3.25,3.2,nan,-0.0007899109361356412,-0.005154431851503022,0.029303346799237184,3.17846028802074,3.17483465043811,0.036860714328517875,10.75,-0.16888787956519902,0.11985308365118472,0.2673755345797147,0.0014175672010569968,0.6954879491369901,0.6701831959700942,0.08138133851792434,0.08004226848034406,1.5652378181985922
9,9.0,4.25,2.4,nan,-0.00011567209413338971,-0.002411440100405057,0.05001427986981876,3.564192199471279,3.533713771161895,0.0795873366829201,11.5,-0.05739968573841717,0.19072418877760872,0.25703426273280666,0.0013571049472609776,0.7701568882798091,0.3806535984427455,0.15692047127043746,0.20160611686242433,1.1591274626225851
10,10.0,3.375,2.12,nan,-0.00014926579027690125,-0.00436673643776127,0.025321446130713195,3.017242574233594,3.017760685053265,0.024727713579244165,12.25,-0.046877313087723235,0.08440068761374013,0.15764287565641283,0.0008400079750384541,0.8940838212590019,0.5762796831696058,0.0732974660435838,0.08377289530381661,1.3091284509727783
11,11.0,3.5,2.08,nan,0.00024105106912762647,-0.00887056642954296,0.033556378569597825,3.518374018448151,3.5086757158191437,0.03244966496642723,11.875,0.027791727573848707,0.1245576078560156,0.22986011189110156,0.0012108091378124249,0.3484975486623363,0.48035584543123827,0.08867488943230062,0.08457463171350779,1.289580144295536
12,12.0,3.375,1.8,nan,0.0009608557899845561,-0.00025288423489624274,0.03134283638038328,2.3268696248931304,2.327657328957998,0.03186638558167065,11.0,0.16401903412372987,0.1293937538173366,0.25329057177001657,0.001334722179769651,4.55755855200345,0.11704605478584357,0.09273531150067979,0.09115265203022127,1.434959651609353
13,13.0,3.125,2.44,nan,5.939518036346544e-05,-0.002976497236859551,0.025755126561861384,2.6817234976336266,2.6817529010923047,0.024332216820776423,9.875,-0.010496496050385981,0.12205698749010493,0.17885479377513003,0.000942714166820062,1.5887138016650153,0.8854856573217921,0.08195225231676717,0.11833081038377175,1.060251587656981
14,14.0,2.375,3.0,nan,-0.0002650211803329676,0.0002474311937372222,0.018793701335439554,3.7691116872370607,3.770341960015513,0.03387107292905207,10.625,-0.04376346112722379,0.04722289971090729,0.13580489194115314,0.0007164270252646274,6.414347724617036,-0.4446526086002172,0.03960922039117142,-0.018469918236855502,1.1153387808008
15,15.0,3.625,2.04,nan,-0.0013566657335716725,-0.004139687510122948,0.03569027631773073,3.852204498599834,3.8455593124685175,0.04299439394681297,10.25,-0.253151351770754,0.16538910191734585,0.3889820491910396,0.002065183553552679,1.976117177186871,0.3516924830942209,0.09337822144193128,0.03077323269838984,2.4019929406330753
16,16.0,3.125,2.6,nan,-0.0002975207869207767,-0.005544427544773302,0.02273978357413469,3.069935193615458,3.0660569497526433,0.02290625127056973,10.875,-0.0653268308733139,0.08514859641494031,0.1511916948386144,0.0008052434648387512,1.4272354872693365,0.351570465267553,0.05270467595922569,0.04026321199937068,1.2239460254115064
17,17.0,2.875,3.08,nan,-0.002625937682566369,-0.0045573810355522765,0.045338175362468564,3.2728340945206646,3.260824342812416,0.074126678908652,10.125,-0.48510535388191,0.13193092327612435,0.2601568310901417,0.0013722067288759942,7.020573456707991,-0.4217682228127306,0.09928011003509161,-0.029523934924987623,1.8028387535400907
18,18.0,3.25,2.56,nan,0.0018493284356126826,0.00431007290368383,0.03441330893876536,2.560500476366799,2.556237945881919,0.042370751598102274,13.5,0.3376390740929958,0.09997947592367559,0.4195780498813221,0.0022211446268801368,1.609147008638182,0.41846721917967955,0.09479792574170579,0.04738196256860523,4.5464140578856975
19,19.0,4.0,2.56,nan,-0.0015288406311545104,-0.0015021741183625938,0.025665393818527647,3.223799780691734,3.2133156670311895,0.047042679069677365,8.875,-0.2884158403636764,0.06535404827161885,0.1470581034716683,0.0007750763584027909,1.913239525893617,0.5997697975342646,0.05057474990508848,0.023504142837946797,1.002529595822677
20,20.0,3.75,2.84,nan,-0.0070578494242424065,-0.009224609367573643,0.0615301329869888,2.887346002325865,2.8933516445372414,0.05677506062888748,10.75,-1.3340239905821618,0.26967549765957477,0.5124129243617661,0.002716923470042833,1.86103605961517,0.0031740128939388886,0.13417827742065352,0.055415214066713896,3.061333894181912
21,21.0,4.125,3.6,nan,-0.0029574083690495226,-0.0187790441768042,0.0451876799462406,2.383786821150156,2.382480840136538,0.03004075481299098,14.625,-0.5955738442347397,0.15434067453457917,0.28608528168343533,0.0015072519560912318,0.006439000569294084,0.4357179775971159,0.13403582128365016,0.18419446121271152,1.4205485854817737
22,22.0,4.0,3.28,nan,-0.0032370461341187967,-0.00042183912947066506,0.023268239138920253,2.921940127588543,2.9145750156968044,0.034920083287448986,9.375,-0.5894621671992308,0.1109479223353335,0.1839840322889214,0.0009716362371997263,12.267084207880856,-1.3837856661570318,0.03475642946757161,-0.02614583617939257,1.3792424956641192
23,23.0,3.75,3.52,nan,-0.0017121339942276646,-0.011182241467705646,0.051825201437084224,3.09664277420095,3.0920648118298573,0.06488744068582508,10.375,-0.3582032518184515,0.23673614893749872,0.39028233876605845,0.0020675300932571864,0.8386327949914393,0.3775581878494006,0.1578150676919989,0.19847037779873228,1.8311044193061918
24,24.0,3.625,3.6,nan,-0.0016787176237338653,-0.003536865604791155,0.027874079653895805,2.2575963294343557,2.2617469113410693,0.0458893034741721,12.375,-0.33302397956274776,0.14611253567594237,0.2505686677962724,0.001332769443471386,3.6666616707192854,0.8449037375095338,0.09026040480144115,0.1157942416134231,1.7424972485943626
25,25.0,3.75,2.88,nan,-0.001978486226750847,-0.007492617185204562,0.03319920205490885,3.1206957608684673,3.1217039812754557,0.0410911612597531,8.25,-0.39928682561547313,0.1330565017345971,0.2317226905821151,0.0012230828655697312,1.3036652056930231,0.8063947959818963,0.10036326806757442,0.1154671079052674,1.3250180731865706
26,26.0,4.125,4.0,nan,-0.0017983770372671996,-0.003497969667968099,0.038748894242532875,2.705212433099179,2.695875326442942,0.05949534227492809,6.5,-0.367383584985432,0.1418782493058713,0.22288665444562528,0.0011755792842642696,1.7678299137510185,0.9099753372791185,0.11754856359525954,0.14198934085647508,0.9309437372534677
