IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,1,90,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,2,70,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,3,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,4,90,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,5,70,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,6,70,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,7,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,8,110,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,9,110,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,10,110,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,11,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,12,110,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,13,70,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,14,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,15,110,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,16,70,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,17,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,18,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,19,70,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,20,90,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,21,70,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,22,90,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,23,90,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,24,70,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,25,110,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,26,110,1
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,1,110,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,2,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,3,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,4,90,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,5,90,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,6,110,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,7,70,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,8,70,4
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,9,70,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,10,110,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,11,110,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,12,110,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,13,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,14,70,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,15,70,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,16,90,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,17,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,18,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,19,70,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,20,110,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,21,90,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,22,110,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,23,110,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,24,70,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,25,70,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,26,110,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,1,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,2,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,3,70,3
