Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749505577.683798200, 23:46:17.645778900, 8, 110, 1
1749505594.906864500, 23:46:34.868188600, 17, 90, 1
1749505612.973071200, 23:46:52.941430600, 6, 70, 1
1749505636.148343100, 23:47:16.109660100, 20, 90, 1
1749505659.413570900, 23:47:39.362940900, 26, 70, 2
1749505686.138094200, 23:48:06.106574400, 4, 110, 1
1749505701.192648000, 23:48:21.160265600, 5, 70, 1
1749505724.244918600, 23:48:44.207570200, 14, 110, 3
1749505739.477941700, 23:48:59.438259800, 3, 70, 1
1749505760.900354000, 23:49:20.862211800, 22, 90, 2
1749505786.804577300, 23:49:46.768961600, 13, 110, 1
1749505802.874855700, 23:50:02.840508900, 25, 70, 2
1749505825.681742400, 23:50:25.642181200, 12, 90, 2
1749505843.757629900, 23:50:43.720577300, 15, 70, 1
1749505865.397642500, 23:51:05.355328300, 16, 110, 4
1749505888.870541700, 23:51:28.832058900, 24, 90, 3
1749505907.149153600, 23:51:47.111276000, 10, 110, 2
1749505921.303858300, 23:52:01.264673800, 2, 90, 1
1749505938.459569400, 23:52:18.416222600, 18, 70, 5
1749505958.787133400, 23:52:38.750480900, 7, 110, 1
1749505979.925207200, 23:52:59.886905900, 1, 90, 1
1749505998.705867100, 23:53:18.669673400, 21, 70, 1
1749506020.234703200, 23:53:40.197328200, 23, 110, 1
1749506034.564605600, 23:53:54.533566800, 11, 90, 1
1749506051.513003600, 23:54:11.474510400, 19, 110, 1
1749506066.480762500, 23:54:26.427728800, 9, 90, 1
