Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721827084.407777800, 15:18:03.150869700, 26, 70, 3
1721827128.467328500, 15:18:47.292465100, 14, 90, 2
1721827157.695363600, 15:19:16.478290700, 24, 110, 3
1721827173.454342200, 15:19:32.313221700, 10, 70, 3
1721827196.189435500, 15:19:55.059902600, 6, 110, 2
1721827211.853623500, 15:20:10.769394700, 8, 90, 2
1721827230.009983300, 15:20:28.906378200, 5, 110, 3
1721827249.556868500, 15:20:48.411965900, 15, 70, 3
1721827271.507725700, 15:21:10.378809700, 2, 90, 4
1721827291.622909400, 15:21:30.518949900, 9, 110, 2
1721827309.106644000, 15:21:47.987629600, 4, 90, 3
1721827330.551599100, 15:22:09.455953500, 25, 110, 4
1721827352.240397100, 15:22:31.147165300, 1, 90, 3
1721827370.125109700, 15:22:49.015194100, 13, 70, 2
1721827391.775302300, 15:23:10.690491100, 19, 90, 2
1721827409.687388500, 15:23:28.610784000, 12, 70, 3
1721827432.376290900, 15:23:51.259339100, 17, 110, 4
1721827447.491392900, 15:24:06.391977900, 20, 90, 3
1721827464.869365400, 15:24:23.761389300, 22, 110, 4
1721827482.179385500, 15:24:41.086128000, 21, 90, 4
1721827499.035164300, 15:24:57.935347800, 16, 110, 4
1721827515.451231400, 15:25:14.366376700, 3, 70, 3
1721827537.241052800, 15:25:36.106792400, 11, 110, 2
1721827552.226428200, 15:25:51.120611700, 23, 90, 4
1721827569.821635300, 15:26:08.743386300, 18, 70, 3
1721827591.312026200, 15:26:30.224388100, 7, 110, 2
