Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749493167.147784200, 20:19:27.114785100, 22, 90, 2
1749493186.639005200, 20:19:46.588684500, 9, 110, 2
1749493205.131000900, 20:20:05.112242300, 21, 70, 3
1749493226.665479300, 20:20:26.629195500, 10, 110, 3
1749493241.468540200, 20:20:41.426218100, 19, 70, 2
1749493263.277056200, 20:21:03.239053300, 11, 90, 2
1749493281.644260300, 20:21:21.606781200, 23, 70, 2
1749493304.295207000, 20:21:44.235380800, 13, 110, 2
1749493318.952166100, 20:21:58.900142700, 25, 70, 3
1749493341.905542700, 20:22:21.855083200, 26, 110, 3
1749493363.505539000, 20:22:43.469861900, 14, 70, 2
1749493385.594896300, 20:23:05.558629900, 5, 90, 3
1749493404.235195700, 20:23:24.182436200, 1, 70, 1
1749493425.193695900, 20:23:45.137523000, 18, 110, 3
1749493440.111996000, 20:24:00.083039400, 4, 70, 2
1749493467.040775300, 20:24:27.000605200, 6, 90, 3
1749493487.581621300, 20:24:47.544807300, 2, 110, 2
1749493504.396293700, 20:25:04.372113400, 20, 70, 4
1749493526.439719200, 20:25:26.385440800, 15, 90, 4
1749493544.706728700, 20:25:44.686718700, 8, 70, 4
1749493574.187680600, 20:26:14.169321400, 3, 90, 3
1749493597.579930000, 20:26:37.534552100, 12, 110, 3
1749493614.999617100, 20:26:54.962744900, 16, 70, 3
1749493637.353737800, 20:27:17.335486900, 17, 110, 4
1749493651.685762600, 20:27:31.637186600, 7, 70, 3
1749493673.276869800, 20:27:53.247133700, 24, 110, 5
