Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721038621.889625200, 12:17:00.654837900, 24, 70, 2
1721038667.547509500, 12:17:46.283589600, 9, 90, 3
1721038686.261149100, 12:18:04.987746400, 18, 110, 2
1721038701.058155400, 12:18:19.866277400, 12, 70, 1
1721038722.573093800, 12:18:41.229934200, 11, 110, 2
1721038739.021735800, 12:18:57.819156800, 3, 70, 4
1721038768.955020600, 12:19:27.735388000, 1, 110, 2
1721038783.341787400, 12:19:42.140956500, 15, 90, 2
1721038801.213771600, 12:19:59.992552800, 2, 110, 5
1721038817.808394600, 12:20:16.629225600, 7, 90, 1
1721038835.228921900, 12:20:34.028573300, 16, 110, 3
1721038850.290784600, 12:20:49.071442700, 23, 70, 3
1721038871.673119000, 12:21:10.461735900, 6, 110, 3
1721038888.883593300, 12:21:27.667591000, 14, 70, 1
1721038910.624833900, 12:21:49.416255400, 25, 90, 2
1721038928.722788800, 12:22:07.530510300, 20, 70, 1
1721038950.360813700, 12:22:29.145038300, 21, 90, 4
1721038969.711573200, 12:22:48.452422700, 8, 110, 2
1721038984.085097000, 12:23:02.919949700, 19, 90, 2
1721039001.682389800, 12:23:20.496132700, 4, 110, 1
1721039016.460508600, 12:23:35.250201500, 17, 90, 2
1721039033.892385000, 12:23:52.619901600, 5, 110, 1
1721039048.522575000, 12:24:07.343461100, 13, 70, 1
1721039069.917438900, 12:24:28.689146200, 22, 110, 2
1721039084.381827100, 12:24:43.158523400, 10, 70, 4
1721039105.997757300, 12:25:04.735622600, 26, 110, 1
