NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
24,70,14,7.988375186920166,0.2326857021876744,2
9,90,12,6.434365510940552,0.16689009136623806,3
18,110,14,5.459337472915649,0.04710163388933454,2
12,70,9,3.957730293273926,0.3442005713780721,1
11,110,14,5.395395040512085,0.04546468598502023,2
3,70,18,11.603159666061401,0.35490187009175617,4
1,110,14,5.381196022033691,0.059395279203142436,2
15,90,14,6.4617087841033936,0.20143052509852818,2
2,110,16,6.669452905654907,0.1646357536315918,5
7,90,12,5.097898244857788,0.2201987107594808,1
16,110,14,5.539695739746094,0.12918329238891602,3
23,70,14,8.218348026275635,0.3244522639683315,3
6,110,15,6.2597315311431885,0.24840637048085532,3
14,70,11,4.724825143814087,0.39610605239868163,1
25,90,15,6.516356706619263,0.14266594250996908,2
20,70,17,10.806347846984863,0.37987589836120605,1
21,90,14,6.601462125778198,0.13014970506940568,4
8,110,14,5.442350625991821,0.04288826669965472,2
19,90,15,6.510392189025879,0.1608802080154419,2
4,110,9,2.794487237930298,0.02182479699452718,1
17,90,14,6.453814744949341,0.14420580863952637,2
5,110,15,5.453294515609741,0.006670554478963216,1
13,70,6,7.842394828796387,0.20314396222432454,1
22,110,14,5.4750587940216064,0.014984743935721261,2
10,70,9,3.676121711730957,0.31296640634536743,4
26,110,14,5.487881183624268,0.05469884191240583,1
