Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749769977.749124500, 01:12:57.710057200, 23, 110, 3
1749770002.951154900, 01:13:22.913629900, 17, 90, 2
1749770024.943603800, 01:13:44.906151100, 10, 70, 5
1749770046.503732300, 01:14:06.472298600, 9, 90, 5
1749770077.427121300, 01:14:37.389583400, 6, 70, 2
1749770105.604249000, 01:15:05.566096200, 16, 90, 5
1749770126.018833200, 01:15:25.981454700, 1, 70, 5
1749770148.311991600, 01:15:48.275529700, 14, 90, 5
1749770169.413953900, 01:16:09.374875800, 2, 110, 3
1749770188.541156200, 01:16:28.503175900, 7, 90, 5
1749770222.834794900, 01:17:02.802048600, 15, 110, 2
1749770238.504023000, 01:17:18.460521000, 4, 90, 4
1749770256.433461500, 01:17:36.395448000, 11, 70, 2
1749770281.913096500, 01:18:01.880278600, 20, 110, 2
1749770301.977860700, 01:18:21.938443600, 26, 70, 2
1749770376.383448100, 01:19:36.343513100, 13, 110, 1
1749770391.737364600, 01:19:51.698845200, 22, 90, 3
1749770411.269314700, 01:20:11.231836500, 12, 110, 2
1749770429.523246300, 01:20:29.485741900, 18, 90, 2
1749770448.755693100, 01:20:48.728892400, 5, 110, 3
1749770472.669087400, 01:21:12.633615300, 21, 90, 5
1749770499.320778100, 01:21:39.283721900, 25, 110, 3
1749770515.434433600, 01:21:55.407936100, 3, 70, 2
1749770538.565375800, 01:22:18.528073100, 19, 90, 4
1749770563.733726500, 01:22:43.693799600, 24, 110, 3
1749770580.279584100, 01:23:00.250266300, 8, 90, 5
