Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1744642338.242234600, 16:52:18.222005500, 11, 90, 4
1744642355.548025500, 16:52:35.519844300, 8, 70, 4
1744642376.629405000, 16:52:56.600608900, 13, 110, 1
1744642391.042896400, 16:53:11.032630600, 26, 90, 2
1744642408.554021400, 16:53:28.542634100, 25, 70, 1
1744642429.311316100, 16:53:49.299433900, 21, 90, 2
1744642445.685047500, 16:54:05.673100000, 9, 110, 3
1744642458.856379000, 16:54:18.834454900, 7, 90, 1
1744642476.635355100, 16:54:36.624563000, 5, 70, 1
1744642497.797934800, 16:54:57.786884100, 18, 110, 2
1744642511.845001600, 16:55:11.832529800, 12, 90, 2
1744642529.377567700, 16:55:29.366924700, 16, 70, 1
1744642550.396800600, 16:55:50.357153100, 15, 90, 2
1744642567.452538600, 16:56:07.441508900, 1, 70, 1
1744642587.167533200, 16:56:27.139350700, 22, 110, 4
1744642599.861501800, 16:56:39.849668800, 6, 90, 3
1744642615.594389300, 16:56:55.547224000, 4, 70, 1
1744642699.735408800, 16:58:19.696712900, 3, 110, 3
1744642715.174189900, 16:58:35.146314500, 19, 70, 2
1744642735.455547600, 16:58:55.438888900, 10, 110, 2
1744642763.704749200, 16:59:23.680995900, 23, 90, 2
1744642781.751189600, 16:59:41.739199900, 24, 70, 1
1744642801.996500300, 17:00:01.984252300, 2, 110, 5
1744642815.201317600, 17:00:15.190557200, 17, 90, 1
1744642831.413606000, 17:00:31.363458200, 14, 70, 1
1744642853.158733200, 17:00:53.120221700, 20, 90, 1
