Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749765923.178802700, 00:05:23.142984700, 6, 90, 5
1749765962.107095000, 00:06:02.067865200, 15, 70, 5
1749765989.480954000, 00:06:29.442374600, 20, 90, 5
1749766010.351940800, 00:06:50.312577300, 10, 70, 5
1749766033.721193200, 00:07:13.682558100, 22, 90, 5
1749766055.252691000, 00:07:35.200202200, 13, 110, 5
1749766073.661516100, 00:07:53.619754200, 11, 70, 5
1749766096.305095600, 00:08:16.279679100, 7, 110, 5
1749766114.847996200, 00:08:34.809888600, 1, 70, 5
1749766136.760085200, 00:08:56.720218000, 21, 90, 5
1749766171.749993500, 00:09:31.713248600, 2, 110, 5
1749766190.302128400, 00:09:50.263534700, 4, 70, 5
1749766212.449487400, 00:10:12.417535400, 8, 90, 5
1749766233.875964700, 00:10:33.836689500, 18, 70, 5
1749766256.565045400, 00:10:56.528639500, 17, 90, 5
1749766293.907340500, 00:11:33.872433200, 24, 70, 5
1749766317.865761900, 00:11:57.828008400, 26, 90, 5
1749766342.023161100, 00:12:21.984174400, 25, 110, 5
1749766357.862349100, 00:12:37.823655000, 14, 90, 5
1749766377.015413500, 00:12:56.978021600, 9, 110, 5
1749766411.189447100, 00:13:31.152038800, 12, 90, 5
1749766434.552431300, 00:13:54.519564500, 5, 70, 5
1749766468.039843400, 00:14:28.004065900, 19, 110, 5
1749766496.647831800, 00:14:56.608860800, 3, 70, 5
1749766522.303788800, 00:15:22.267051600, 16, 110, 5
1749766538.113979700, 00:15:38.077514800, 23, 90, 5
