NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
14,70,-6,1.8930039405822754,0.22231584125094944,3
12,110,3,2.2424135208129883,0.14721859825981987,3
9,90,5,3.0702309608459473,0.1824103742837906,4
13,110,10,3.290438413619995,0.11399665745821866,2
20,90,8,2.9200093746185303,0.22043264829195464,4
25,70,4,3.5213632583618164,0.2059477778042064,4
8,110,8,3.0705721378326416,0.14572867980370155,3
5,70,5,3.0151374340057373,0.20417280495166779,5
4,110,17,3.433680295944214,0.20304685831069946,3
11,70,6,2.786529541015625,0.20351168314615886,2
26,90,9,3.183471202850342,0.14675537745157877,2
15,70,12,4.391051530838013,0.1771011617448595,3
21,90,3,2.647264242172241,0.175513850318061,1
16,70,6,4.44270133972168,0.21083062489827473,3
7,110,9,3.247786045074463,0.12736278772354126,2
17,70,9,3.5134546756744385,0.27894272406895954,5
1,110,11,3.3087589740753174,0.12866649627685547,1
2,70,7,2.787930727005005,0.3069622686931065,3
18,110,10,3.400866746902466,0.07743948156183417,2
19,90,9,3.70009183883667,0.1706792712211609,3
24,110,9,3.4052388668060303,0.12400068839391072,4
6,70,5,2.9274816513061523,0.22769232094287872,4
10,90,7,3.185807943344116,0.1816725730895996,5
23,70,10,3.9236900806427,0.2159706245769154,3
22,110,9,2.7843663692474365,0.06974607706069946,3
3,90,10,4.045967102050781,0.046188549561934036,5
