Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721656661.837537700, 15:57:40.760172500, 4, 90, 3
1721656687.875691500, 15:58:06.830668800, 8, 70, 3
1721656709.082043600, 15:58:28.016582900, 1, 110, 2
1721656723.394152900, 15:58:42.337714700, 23, 70, 2
1721656744.144984500, 15:59:03.092730100, 10, 90, 3
1721656760.939796800, 15:59:19.886948600, 25, 70, 2
1721656781.778535700, 15:59:40.682602300, 5, 90, 1
1721656798.632753200, 15:59:57.564576300, 22, 110, 3
1721656820.577778400, 16:00:19.561374700, 15, 90, 3
1721656838.037687300, 16:00:37.007464600, 24, 70, 2
1721656858.847478000, 16:00:57.804449800, 13, 110, 3
1721656873.936433500, 16:01:12.861175500, 9, 90, 2
1721656893.239268500, 16:01:31.037592800, 20, 70, 1
1721656913.941580700, 16:01:52.920104800, 16, 90, 4
1721656933.226664100, 16:02:10.138545500, 14, 110, 4
1721656985.512506400, 16:03:04.470406800, 2, 70, 1
1721657006.300316500, 16:03:25.234742200, 21, 110, 1
1721657020.775995400, 16:03:39.749246500, 11, 90, 1
1721657040.104793400, 16:03:56.868785400, 12, 70, 1
1721657060.861392500, 16:04:19.794780700, 18, 110, 1
1721657075.586751200, 16:04:34.485968000, 19, 70, 1
1721657096.698474600, 16:04:55.641420000, 17, 110, 1
1721657111.909514000, 16:05:10.879800300, 3, 90, 1
1721657129.010609200, 16:05:27.970512100, 26, 70, 1
1721657150.356095200, 16:05:49.318187800, 6, 110, 1
1721657172.197625900, 16:06:11.166080000, 7, 70, 1
