Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749488651.051641900, 19:04:10.998760200, 26, 70, 3
1749488679.612857100, 19:04:39.574005300, 16, 90, 1
1749488698.131147400, 19:04:58.094326500, 10, 110, 1
1749488713.977452500, 19:05:13.938596400, 17, 70, 1
1749488736.197097900, 19:05:36.160075800, 18, 90, 1
1749488753.813038800, 19:05:53.756367300, 19, 110, 3
1749488774.822424100, 19:06:14.797905000, 24, 70, 1
1749488796.871021800, 19:06:36.855301300, 2, 90, 2
1749488818.880993700, 19:06:58.843712400, 1, 70, 2
1749488845.728370800, 19:07:25.674048700, 20, 110, 1
1749488875.754083500, 19:07:55.720521500, 13, 90, 1
1749488896.420792100, 19:08:16.384358800, 4, 110, 2
1749488915.677943800, 19:08:35.630635500, 6, 70, 2
1749488941.562661400, 19:09:01.503409700, 15, 90, 1
1749488964.884945300, 19:09:24.829575800, 21, 70, 1
1749489007.904526700, 19:10:07.860343400, 12, 90, 1
1749489025.875023100, 19:10:25.816094700, 7, 70, 1
1749489047.984453600, 19:10:47.930403800, 25, 110, 1
1749489062.828503800, 19:11:02.791863700, 3, 90, 1
1749489080.661204100, 19:11:20.614322900, 23, 70, 1
1749489115.494984400, 19:11:55.461430000, 22, 90, 1
1749489133.392461000, 19:12:13.355677300, 9, 70, 1
1749489154.868108800, 19:12:34.815197000, 8, 90, 1
1749489175.541589900, 19:12:55.507630000, 11, 110, 1
1749489190.049475600, 19:13:10.004366000, 14, 90, 5
1749489207.584969600, 19:13:27.547836500, 5, 110, 1

