Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749502259.418432900, 22:50:59.381944500, 6, 70, 4
1749502284.433125000, 22:51:24.396531000, 2, 90, 4
1749502308.355014300, 22:51:48.318329000, 11, 110, 4
1749502331.635523300, 22:52:11.598116600, 26, 90, 5
1749502410.348204200, 22:53:30.313179000, 7, 110, 5
1749502426.526386300, 22:53:46.476433000, 17, 90, 5
1749502445.135950700, 22:54:05.098899000, 15, 110, 5
1749502468.242949800, 22:54:28.206339500, 4, 90, 5
1749502494.542402000, 22:54:54.506670500, 21, 70, 5
1749502518.858242200, 22:55:18.818606800, 9, 90, 4
1749502558.864906200, 22:55:58.829137100, 8, 110, 5
1749502574.914419500, 22:56:14.877504400, 3, 70, 5
1749502602.176162700, 22:56:42.143943400, 12, 110, 5
1749502620.568101300, 22:57:00.522096500, 25, 70, 5
1749502651.756864400, 22:57:31.721423700, 13, 90, 5
1749502684.037427600, 22:58:03.999243400, 5, 110, 5
1749502704.360455500, 22:58:24.321472000, 1, 70, 5
1749502727.653382000, 22:58:47.615266700, 23, 90, 5
1749502748.605404100, 22:59:08.563133400, 18, 70, 5
1749502799.831618300, 22:59:59.793008500, 22, 90, 5
1749502842.031128200, 23:00:41.994737400, 24, 70, 5
1749502864.830997100, 23:01:04.792685000, 16, 90, 5
1749502883.055512000, 23:01:23.016976000, 14, 70, 5
1749502904.813881500, 23:01:44.779634000, 20, 110, 5
1749502920.316987400, 23:02:00.278733600, 19, 90, 5
1749502939.356721600, 23:02:19.309983000, 10, 70, 3
