Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721633969.879819800, 09:39:29.042572000, 6, 110, 2
1721634050.470321700, 09:40:49.342366900, 21, 90, 3
1721634086.374905600, 09:41:25.336285400, 26, 70, 3
1721634113.622025300, 09:41:52.476170600, 18, 90, 4
1721634135.178548400, 09:42:14.136227200, 19, 110, 2
1721634153.089838400, 09:42:32.057592500, 4, 90, 4
1721634171.405532400, 09:42:50.336738900, 24, 110, 4
1721634186.163991000, 09:43:05.120501800, 2, 90, 3
1721634207.021566600, 09:43:25.947134500, 5, 110, 4
1721634224.586139900, 09:43:43.526485100, 16, 90, 4
1721634242.282396900, 09:44:01.215697100, 15, 70, 5
1721634264.618978000, 09:44:23.529058700, 12, 90, 4
1721634281.384965400, 09:44:40.303321300, 10, 70, 4
1721634302.155184100, 09:45:01.066854200, 11, 90, 4
1721634319.227769900, 09:45:17.867611000, 8, 110, 5
1721634333.968430200, 09:45:32.907079600, 20, 90, 4
1721634352.059892000, 09:45:51.008375200, 22, 70, 5
1721634373.154216300, 09:46:12.069491800, 25, 90, 4
1721634389.875832300, 09:46:28.837712300, 7, 110, 5
1721634405.309589400, 09:46:44.260234900, 17, 90, 4
1721634425.722733100, 09:47:04.680765200, 23, 110, 4
1721634440.897663400, 09:47:19.859952000, 3, 90, 4
1721634457.945198200, 09:47:36.915176200, 14, 110, 4
1721634472.848201200, 09:47:51.771643100, 13, 90, 5
1721634490.355679600, 09:48:09.425157600, 1, 70, 5
1721634511.268347500, 09:48:30.130007600, 9, 110, 5
