NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
6,110,11,3.083146810531616,0.04899964332580566,2
21,90,6,1.8861982822418213,0.18640259106953938,3
26,70,4,2.107391595840454,0.2049258316264433,3
18,90,10,3.7279953956604004,0.2188659147782759,4
19,110,11,3.8174796104431152,0.03962686061859131,2
4,90,9,3.7355966567993164,0.1855124036471049,4
24,110,9,2.6071033477783203,0.09197779496510823,4
2,90,9,0.8519752025604248,0.1389277776082357,3
5,110,11,4.033106327056885,0.2343003749847412,4
16,90,7,0.7786557674407959,0.27816316059657503,4
15,70,8,3.5612144470214844,0.24529020602886492,5
12,90,10,3.7452518939971924,0.22957275130532004,4
10,70,8,3.843287229537964,0.19066190719604492,4
11,90,8,3.343238115310669,0.14336619010338417,4
8,110,9,2.8435347080230713,0.08820674816767375,5
20,90,7,3.1238772869110107,0.22655453000749862,4
22,70,9,4.452217102050781,0.17875721057256064,5
25,90,8,3.8120572566986084,0.19929339335514948,4
7,110,10,3.153383255004883,0.08053428476507013,5
17,90,9,3.179837465286255,0.2454283038775126,4
23,110,11,3.8661394119262695,0.1255732774734497,4
3,90,6,3.248669147491455,0.17932256062825522,4
14,110,9,2.8720502853393555,0.045289854208628334,4
13,90,9,3.0833613872528076,0.21854901313781738,5
1,70,10,4.755547523498535,0.37826663797551935,5
9,110,10,3.4199628829956055,0.2319720224900679,5
