Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1722004417.060085000, 16:33:35.848087100, 17, 70, 3
1722004466.795807200, 16:34:25.685448000, 12, 110, 3
1722004541.292572000, 16:35:40.087757800, 10, 70, 4
1722004570.529375500, 16:36:09.403921100, 11, 90, 3
1722004592.430166500, 16:36:31.311500400, 1, 70, 3
1722004638.391720800, 16:37:17.216631000, 19, 90, 2
1722004669.526698400, 16:37:48.387363800, 16, 70, 2
1722004691.926428900, 16:38:10.763564900, 24, 90, 3
1722004709.903819700, 16:38:28.743468700, 26, 70, 4
1722004733.886645400, 16:38:52.749933400, 23, 110, 4
1722004751.012244400, 16:39:09.873367300, 9, 90, 5
1722004773.070542900, 16:39:31.950271500, 22, 110, 4
1722004796.706802000, 16:39:55.530721300, 13, 70, 3
1722004821.463774200, 16:40:20.263259700, 25, 90, 4
1722004848.303116100, 16:40:47.115849600, 6, 70, 4
1722004893.951736400, 16:41:32.821763600, 20, 90, 3
1722004912.588756000, 16:41:51.435189900, 4, 110, 4
1722004945.247528100, 16:42:24.039801000, 14, 70, 2
1722004966.212852600, 16:42:45.049942700, 2, 110, 4
1722005003.264022200, 16:43:22.140920400, 18, 70, 4
1722005025.033517700, 16:43:43.761275700, 8, 110, 4
1722005060.036960200, 16:44:18.882883900, 5, 90, 3
1722005089.496904200, 16:44:48.336702100, 7, 70, 3
1722005126.054778400, 16:45:24.913899600, 15, 110, 4
1722005144.167879100, 16:45:43.057816300, 3, 90, 4
1722005161.108155000, 16:45:59.954258500, 21, 70, 3
