NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
9,110,19,6.51993989944458,0.020183563232421875,3
7,70,12,5.508450746536255,0.29326065381368,5
11,110,11,2.124288320541382,0.1655421257019043,2
8,70,8,3.951611280441284,0.3934966784257155,4
21,110,12,3.0866990089416504,0.14945541487799752,3
17,90,10,3.8881676197052,0.19054245948791504,2
1,110,10,3.113631248474121,0.102594332261519,3
23,90,8,0.8998353481292725,0.1836084769322322,2
18,70,8,3.9393718242645264,0.2792232953585111,4
26,90,9,3.7010490894317627,0.26214325428009033,2
14,110,10,3.2304930686950684,0.05247950553894043,1
2,70,8,4.004286766052246,0.34047887875483585,1
22,110,10,3.16018009185791,0.038180177861993965,2
3,70,1,4.347710371017456,0.19247744083404542,4
20,90,10,3.907200574874878,0.15557640249078925,2
15,110,9,2.7381598949432373,0.07242236534754436,2
10,90,8,3.190525770187378,0.1611500336573674,3
4,110,9,2.665069103240967,0.09292741616566975,4
25,90,9,3.1310036182403564,0.213200052579244,2
24,70,6,3.846224069595337,0.24580879211425782,4
19,110,9,2.70099139213562,0.03727207581202189,1
6,70,9,3.9143004417419434,0.24341313044230142,4
12,90,11,3.8162295818328857,0.11539552211761475,3
5,70,10,4.703604698181152,0.33040952682495117,1
16,110,16,6.257854700088501,0.17397866249084473,5
13,90,8,3.111590623855591,0.24692619763887846,2
