Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749490802.217194000, 19:40:02.183235500, 21, 70, 2
1749490827.718000000, 19:40:27.682587400, 22, 110, 2
1749490845.334676000, 19:40:45.296586500, 6, 90, 2
1749490963.848872900, 19:42:43.810802100, 17, 70, 1
1749491025.853050200, 19:43:45.827996600, 25, 110, 4
1749491044.463567000, 19:44:04.400366800, 3, 90, 4
1749491063.386806900, 19:44:23.349107300, 4, 70, 2
1749491089.652465100, 19:44:49.613520600, 24, 90, 3
1749491107.572373800, 19:45:07.535403000, 23, 70, 4
1749491130.263000400, 19:45:30.225027800, 15, 90, 4
1749491169.241066000, 19:46:09.202101800, 14, 110, 5
1749491185.209468400, 19:46:25.172627000, 1, 70, 3
1749491206.814664500, 19:46:46.767298700, 13, 90, 5
1749491231.599514500, 19:47:11.567935200, 19, 70, 3
1749491255.733242600, 19:47:35.695488800, 2, 90, 5
1749491283.951760200, 19:48:03.915640100, 8, 110, 3
1749491299.200080800, 19:48:19.161665900, 9, 90, 3
1749491322.277985200, 19:48:42.241312700, 26, 110, 4
1749491338.628847600, 19:48:58.592536300, 16, 90, 3
1749491356.168159400, 19:49:16.132069500, 18, 110, 4
1749491384.254496600, 19:49:44.215568600, 10, 70, 2
1749491428.126765400, 19:50:28.088047200, 20, 90, 4
1749491448.488120800, 19:50:48.449999800, 11, 110, 5
1749491463.735205600, 19:51:03.700264200, 7, 70, 2
1749491486.878642500, 19:51:26.849339100, 5, 110, 4
1749491501.860493400, 19:51:41.824615300, 12, 70, 4
