Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720701111.928226100, 14:31:50.672627000, 9, 90, 2
1720701140.088443300, 14:32:18.865637400, 24, 70, 1
1720701166.646113900, 14:32:45.435187800, 21, 110, 4
1720701182.102528300, 14:33:00.991192700, 8, 90, 2
1720701199.798141900, 14:33:18.674371000, 19, 110, 1
1720701214.715930300, 14:33:33.592732500, 12, 70, 2
1720701238.320084100, 14:33:55.309172700, 17, 90, 3
1720701255.860842300, 14:34:14.734469500, 18, 110, 3
1720701271.919664000, 14:34:30.798482100, 14, 90, 2
1720701289.582756000, 14:34:48.477953400, 13, 70, 5
1720701311.719389000, 14:35:10.605961500, 3, 90, 5
1720701330.040118200, 14:35:28.782906800, 10, 110, 4
1720701347.441409600, 14:35:46.325231700, 25, 70, 2
1720701368.785544900, 14:36:07.669918100, 23, 90, 4
1720701386.788861300, 14:36:25.653484500, 7, 110, 4
1720701402.239575400, 14:36:41.144353900, 26, 70, 3
1720701424.178652500, 14:37:03.061600300, 1, 90, 1
1720701441.740476900, 14:37:20.625877900, 11, 70, 2
1720701465.347780700, 14:37:42.367236200, 22, 90, 3
1720701483.091953800, 14:38:01.953343500, 4, 110, 5
1720701498.889750400, 14:38:17.740564400, 6, 70, 3
1720701522.345954400, 14:38:39.056209100, 5, 90, 1
1720701540.659410000, 14:38:59.553217600, 15, 70, 2
1720701564.184235800, 14:39:21.016141600, 20, 90, 2
1720701582.478732800, 14:39:41.406114800, 16, 70, 5
1720701715.937564000, 14:41:54.706769700, 2, 110, 1
