NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
9,90,5,3.0437750816345215,0.12461736798286438,2
24,70,6,3.31695294380188,0.2114266872406006,1
21,110,12,3.7483670711517334,0.1593524350060357,4
8,90,7,3.405020236968994,0.14395744459969656,2
19,110,16,5.647549152374268,0.14613122940063478,1
12,70,15,8.923095703125,0.15547959009806314,2
17,90,15,6.814343452453613,0.13419906298319498,3
18,110,12,2.9820425510406494,0.1291784710354275,3
14,90,11,3.471637725830078,0.19013335704803466,2
13,70,9,5.434687852859497,0.23742940028508505,5
3,90,7,4.321047067642212,0.12207208360944476,5
10,110,10,2.8205032348632812,0.13699327815662732,4
25,70,9,5.086745738983154,0.2217536767323812,2
23,90,10,3.850259780883789,0.151187311519276,4
7,110,11,3.8431849479675293,0.10626707077026368,4
26,70,6,4.653153419494629,0.26033069292704264,3
1,90,10,4.140472650527954,0.1569476994601163,1
11,70,8,4.866555452346802,0.19792697979853704,2
22,90,9,3.8448996543884277,0.11988576253255208,3
4,110,13,5.412700891494751,0.15365219116210938,5
6,70,7,6.296933889389038,0.1850203275680542,3
5,90,9,4.205378770828247,0.1394148071606954,1
15,70,8,5.509826183319092,0.23639787160433257,2
20,90,9,3.802093029022217,0.18688817818959555,2
16,70,7,4.668712139129639,0.24940947123936244,5
2,110,11,3.830432891845703,0.04133594036102295,1
