Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720788792.910685800, 14:53:11.618874800, 21, 70, 3
1720788853.205855200, 14:54:11.974697400, 2, 90, 1
1720788877.994458100, 14:54:36.783617900, 22, 110, 3
1720788929.410949100, 14:55:28.190122100, 17, 70, 1
1720788954.258060500, 14:55:53.091471600, 23, 110, 2
1720788973.965550900, 14:56:12.785564000, 19, 90, 2
1720788997.746490100, 14:56:36.536471800, 11, 70, 2
1720789065.520664800, 14:57:44.308914600, 6, 110, 3
1720789084.192032600, 14:58:02.981123300, 12, 90, 1
1720789109.234470900, 14:58:28.001129300, 1, 70, 2
1720789180.155274800, 14:59:38.950891500, 16, 90, 1
1720789197.443460200, 14:59:56.245582800, 4, 110, 1
1720789213.396439100, 15:00:12.205669900, 7, 90, 1
1720789231.085066300, 15:00:29.867459500, 20, 110, 2
1720789248.243529700, 15:00:47.013963900, 9, 70, 1
1720789269.593850900, 15:01:08.343936500, 3, 110, 2
1720789285.389236900, 15:01:24.195627600, 24, 90, 3
1720789307.392767300, 15:01:46.206362500, 10, 70, 4
1720789335.961813100, 15:02:14.766819100, 15, 110, 2
1720789351.202473500, 15:02:30.011754200, 5, 90, 2
1720789369.014030100, 15:02:47.791168900, 26, 110, 3
1720789385.717657100, 15:03:04.506471400, 13, 90, 1
1720789403.400761400, 15:03:22.215411400, 18, 70, 4
1720789425.994184900, 15:03:44.771393200, 8, 90, 3
1720789444.070313000, 15:04:02.868311900, 25, 70, 2
1720789486.114408500, 15:04:44.920724700, 14, 110, 1
