Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721118460.234973000, 10:27:39.147427500, 5, 90, 4
1721118514.199126000, 10:28:32.968463600, 25, 90, 4
1721118552.437569900, 10:29:11.221041700, 10, 90, 2
1721118597.540415800, 10:29:56.329504900, 19, 90, 5
1721118633.563697000, 10:30:32.299396400, 21, 90, 5
1721118688.023774400, 10:31:26.764711600, 15, 90, 5
1721118725.490314700, 10:32:04.192940000, 11, 90, 5
1721118782.852217900, 10:33:01.633308600, 24, 90, 5
1721118839.298069300, 10:33:57.985973600, 7, 90, 3
1721118895.802469300, 10:34:54.603826500, 13, 90, 1
1721118936.856571200, 10:35:35.424919500, 23, 90, 5
1721118972.274629700, 10:36:11.089575700, 3, 90, 5
1721119037.918832900, 10:37:16.669748900, 4, 90, 5
1721119073.078708700, 10:37:51.779062700, 1, 90, 1
1721119145.529693500, 10:39:04.191668700, 22, 90, 5
1721119179.888377300, 10:39:38.583654400, 14, 90, 5
1721119218.844686300, 10:40:17.481414700, 9, 90, 1
1721119285.440434700, 10:41:24.113332000, 8, 90, 5
1721119341.417763300, 10:42:20.030325900, 26, 90, 5
1721119396.347123500, 10:43:15.084915000, 12, 90, 2
1721119619.860577900, 10:46:58.221998100, 20, 90, 5
1721120226.286397600, 10:57:04.657175000, 2, 90, 1
1721120759.413146300, 11:05:57.908277100, 16, 90, 1
1721120800.060115000, 11:06:38.687329300, 17, 90, 4
1721120861.612906800, 11:07:40.404036100, 18, 90, 4
1721120894.017662200, 11:08:12.527455100, 6, 90, 1
