Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749506105.842919600, 23:55:05.792635800, 16, 90, 2
1749506124.890162000, 23:55:24.852603200, 23, 90, 1
1749506143.669270500, 23:55:43.631457400, 19, 90, 4
1749506162.089923700, 23:56:02.052463200, 6, 90, 3
1749506180.226857100, 23:56:20.194707700, 11, 90, 5
1749506197.355662200, 23:56:37.318889500, 15, 90, 4
1749506214.409666800, 23:56:54.368547400, 26, 90, 2
1749506233.076620000, 23:57:13.043205500, 13, 90, 1
1749506250.624673800, 23:57:30.587110500, 5, 90, 2
1749506268.303212800, 23:57:48.268128100, 25, 90, 5
1749506295.547262100, 23:58:15.511576300, 17, 90, 4
1749506313.650586100, 23:58:33.613605400, 24, 90, 5
1749506331.313971100, 23:58:51.275850900, 10, 90, 2
1749506349.273518900, 23:59:09.237461100, 18, 90, 2
1749506370.654360800, 23:59:30.616421900, 22, 90, 4
1749506393.967850200, 23:59:53.934062100, 20, 90, 4
1749506411.733779000, 00:00:11.696468700, 14, 90, 5
1749506430.300771500, 00:00:30.266344700, 8, 90, 2
1749506446.834043000, 00:00:46.795927500, 21, 90, 4
1749506464.451873100, 00:01:04.423124200, 2, 90, 3
1749506486.922890300, 00:01:26.886799300, 3, 90, 2
1749506504.466705600, 00:01:44.428675800, 1, 90, 3
1749506521.522700300, 00:02:01.486595400, 9, 90, 4
1749506538.807169600, 00:02:18.769606800, 12, 90, 5
1749506556.637724900, 00:02:36.600612500, 7, 90, 5
1749506573.677867600, 00:02:53.641130600, 4, 90, 4
