Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721981913.023873900, 10:18:32.550468200, 21, 90, 4
1721981978.341336800, 10:19:37.194547600, 5, 90, 2
1721982037.523467600, 10:20:36.377852000, 23, 90, 4
1721982073.454518700, 10:21:12.334330500, 13, 90, 4
1721982107.747540100, 10:21:46.583168600, 9, 90, 3
1721982147.487125300, 10:22:26.426016600, 16, 90, 4
1721982186.197521400, 10:23:05.046101800, 17, 90, 3
1721982221.909867600, 10:23:40.789420400, 7, 90, 2
1721982261.320818000, 10:24:20.196918700, 26, 90, 3
1721982296.747466000, 10:24:55.640117000, 25, 90, 3
1721982333.090304200, 10:25:31.955542900, 2, 90, 1
1721982371.576268700, 10:26:10.478467300, 4, 90, 3
1721982412.028707600, 10:26:50.895937900, 6, 90, 3
1721982447.899346200, 10:27:26.771546600, 14, 90, 3
1721982486.814564900, 10:28:05.617953700, 24, 90, 1
1721982520.365698200, 10:28:39.253565200, 20, 90, 4
1721982555.022284600, 10:29:13.911613200, 10, 90, 3
1721982590.444258200, 10:29:49.247906800, 18, 90, 2
1721982625.941204700, 10:30:24.785331700, 22, 90, 2
1721982663.020571000, 10:31:01.908877800, 15, 90, 3
1721982699.781002600, 10:31:38.617627100, 3, 90, 3
1721982736.913255300, 10:32:15.729795800, 8, 90, 2
1721982774.269799100, 10:32:53.130851000, 11, 90, 3
1721982808.309170600, 10:33:27.150985400, 1, 90, 2
1721982847.221493700, 10:34:05.993482600, 19, 90, 1
1721982880.755924000, 10:34:39.638609800, 12, 90, 4
