Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721295856.993246500, 11:44:16.227931800, 6, 90, 3
1721295899.467532000, 11:44:58.514058100, 15, 90, 3
1721295946.084088900, 11:45:45.143979100, 25, 90, 4
1721295979.270795400, 11:46:18.341472700, 21, 90, 5
1721296045.597681300, 11:47:24.606398800, 22, 90, 4
1721296078.842748200, 11:47:57.889033100, 2, 90, 1
1721296112.966509000, 11:48:32.020717200, 20, 90, 3
1721296147.897841900, 11:49:06.912557200, 14, 90, 2
1721296181.502502400, 11:49:40.574824800, 24, 90, 2
1721296214.521742200, 11:50:13.532096000, 10, 90, 2
1721296247.519415000, 11:50:46.494570000, 18, 90, 4
1721296280.282461400, 11:51:19.348949200, 13, 90, 2
1721296313.599186100, 11:51:52.635865800, 26, 90, 0
1721296356.035565000, 11:52:35.058212000, 16, 90, 2
1721296393.220563200, 11:53:12.213451200, 11, 90, 3
1721296425.941221300, 11:53:44.931087300, 3, 90, 4
1721296459.352121100, 11:54:18.337264300, 17, 90, 2
1721296491.823338100, 11:54:50.810808900, 9, 90, 1
1721296524.737511200, 11:55:23.719129200, 1, 90, 1
1721296558.022385100, 11:55:57.076337700, 7, 90, 1
1721296593.627582500, 11:56:32.673214400, 23, 90, 2
1721296636.761953600, 11:57:15.748255900, 4, 90, 2
1721296669.108634400, 11:57:48.139916500, 8, 90, 3
1721296701.249958300, 11:58:20.234405000, 12, 90, 1
1721296733.423298700, 11:58:52.454640000, 19, 90, 1
1721296766.314915000, 11:59:24.902837600, 5, 90, 2
