Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749493701.708856500, 20:28:21.679689500, 24, 90, 4
1749493750.220303700, 20:29:10.187827800, 23, 90, 3
1749493768.348864300, 20:29:28.335335800, 26, 90, 3
1749493786.061425000, 20:29:46.017501900, 1, 90, 4
1749493803.110933400, 20:30:03.086203600, 15, 90, 3
1749493820.254362600, 20:30:20.229865300, 11, 90, 3
1749493837.552263000, 20:30:37.533786600, 25, 90, 4
1749493855.355206700, 20:30:55.323871600, 20, 90, 4
1749493873.043946700, 20:31:12.987306500, 12, 90, 4
1749493891.305609400, 20:31:31.275571000, 8, 90, 4
1749493914.117411100, 20:31:54.082415400, 18, 90, 5
1749493931.904343900, 20:32:11.861735000, 7, 90, 4
1749493949.542137300, 20:32:29.503157800, 2, 90, 4
1749493966.856081200, 20:32:46.819306700, 4, 90, 5
1749493984.659429700, 20:33:04.622261700, 5, 90, 4
1749494007.315594000, 20:33:27.282792900, 13, 90, 4
1749494025.320812200, 20:33:45.299558900, 10, 90, 3
1749494043.503393000, 20:34:03.475585500, 6, 90, 5
1749494061.529743400, 20:34:21.480967900, 16, 90, 4
1749494079.595912300, 20:34:39.577223800, 3, 90, 4
1749494104.230269500, 20:35:04.206973200, 14, 90, 3
1749494122.932316100, 20:35:22.916688900, 22, 90, 4
1749494140.683009200, 20:35:40.670755300, 17, 90, 4
1749494158.045568100, 20:35:57.993357100, 21, 90, 4
1749494180.153337700, 20:36:20.127572500, 9, 90, 4
1749494202.079349500, 20:36:42.034963000, 19, 90, 5
