Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721122596.481209600, 11:36:35.983572200, 19, 90, 2
1721122641.100075000, 11:37:19.833427700, 2, 90, 1
1721122680.523061800, 11:37:59.339083600, 23, 90, 2
1721122734.252906700, 11:38:53.021089500, 26, 90, 1
1721122772.783911600, 11:39:31.577652100, 8, 90, 3
1721122806.358550900, 11:40:05.189374200, 13, 90, 2
1721122853.608530000, 11:40:52.391679300, 15, 90, 1
1721122887.923893600, 11:41:26.696777000, 17, 90, 2
1721122926.771809500, 11:42:05.576227600, 1, 90, 1
1721122968.665604900, 11:42:47.160601600, 10, 90, 2
1721123002.933709800, 11:43:21.748406700, 11, 90, 1
1721123040.664172000, 11:43:59.470770800, 7, 90, 2
1721123075.014281400, 11:44:33.822635700, 4, 90, 2
1721123110.864051500, 11:45:09.688487600, 3, 90, 1
1721123146.747649700, 11:45:45.514515900, 6, 90, 2
1721123180.112466300, 11:46:18.903561600, 22, 90, 3
1721123214.230533100, 11:46:52.989861200, 5, 90, 1
1721123253.785765400, 11:47:32.499956900, 25, 90, 1
1721123288.127315600, 11:48:06.848810500, 14, 90, 2
1721123320.917110100, 11:48:39.736645100, 24, 90, 4
1721123354.607665500, 11:49:13.382272300, 21, 90, 3
1721123389.709959700, 11:49:48.526895200, 16, 90, 3
1721123424.617446900, 11:50:23.449496900, 9, 90, 2
1721123462.758114900, 11:51:01.580769400, 12, 90, 2
1721123508.178921300, 11:51:47.017264200, 18, 90, 2
1721123541.807694900, 11:52:20.580685400, 20, 90, 1
