Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721039304.495823400, 12:28:23.467500200, 10, 90, 2
1721039351.310701500, 12:29:10.139143500, 21, 90, 3
1721039396.945952000, 12:29:55.756836600, 24, 90, 1
1721039429.722305800, 12:30:28.516446500, 17, 90, 1
1721039462.609535300, 12:31:01.335840000, 20, 90, 1
1721039494.978678600, 12:31:33.754729100, 23, 90, 3
1721039527.415726600, 12:32:06.219144200, 16, 90, 2
1721039562.726842100, 12:32:41.453406200, 22, 90, 3
1721039597.446903700, 12:33:16.209862600, 14, 90, 1
1721039630.270323000, 12:33:49.050417600, 1, 90, 2
1721039663.452205600, 12:34:22.220884400, 5, 90, 3
1721039697.123898200, 12:34:55.926572600, 9, 90, 2
1721039730.902583500, 12:35:29.741093600, 13, 90, 1
1721039763.738109500, 12:36:02.543905300, 25, 90, 3
1721039797.389264900, 12:36:36.176702500, 2, 90, 4
1721039832.413871300, 12:37:11.202254100, 6, 90, 2
1721039864.913302300, 12:37:43.736750900, 18, 90, 3
1721039898.073876500, 12:38:16.813533700, 7, 90, 2
1721039930.196947100, 12:38:49.034170100, 3, 90, 3
1721039963.423377700, 12:39:21.718555900, 4, 90, 2
1721040002.301998100, 12:40:01.061550800, 12, 90, 1
1721040036.440604900, 12:40:35.185786200, 19, 90, 3
1721040069.126272000, 12:41:07.887397200, 26, 90, 4
1721040102.404607600, 12:41:41.199639300, 11, 90, 1
1721040135.313117200, 12:42:14.113065800, 8, 90, 3
1721040167.849046600, 12:42:46.618036200, 15, 90, 2
