Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749770635.059150400, 01:23:55.023589000, 2, 90, 3
1749770658.867477800, 01:24:18.831621000, 4, 90, 3
1749770687.262731100, 01:24:47.224517600, 15, 90, 4
1749770708.133562600, 01:25:08.096141300, 1, 90, 4
1749770728.542250800, 01:25:28.512999300, 3, 90, 3
1749770757.407644900, 01:25:57.368898500, 8, 90, 3
1749770778.395233400, 01:26:18.358568100, 24, 90, 4
1749770797.667376500, 01:26:37.637939100, 22, 90, 5
1749770816.791741600, 01:26:56.752710100, 23, 90, 4
1749770839.391053200, 01:27:19.353755800, 16, 90, 5
1749770883.909619400, 01:28:03.871983800, 14, 90, 2
1749770908.028541700, 01:28:27.990346200, 19, 90, 5
1749770935.984795200, 01:28:55.947808400, 13, 90, 4
1749770968.427817600, 01:29:28.390246300, 26, 90, 5
1749771012.789393700, 01:30:12.752055400, 17, 90, 5
1749771045.536353500, 01:30:45.497755800, 12, 90, 5
1749771067.072451100, 01:31:07.034099000, 20, 90, 5
1749771093.945215300, 01:31:33.900203000, 9, 90, 1
1749771111.619891600, 01:31:51.581023900, 11, 90, 5
1749771134.173648500, 01:32:14.134542600, 7, 90, 5
1749771161.022472600, 01:32:40.987493000, 21, 90, 5
1749771182.208418600, 01:33:02.167398800, 10, 90, 3
1749771201.957405000, 01:33:21.919243000, 18, 90, 5
1749771230.670144700, 01:33:50.631234200, 6, 90, 4
1749771255.157636900, 01:34:15.135370500, 25, 90, 5
1749771279.642241100, 01:34:39.600296600, 5, 90, 4
