Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749766584.378475700, 00:16:24.339594800, 4, 90, 4
1749766606.757599300, 00:16:46.717530900, 22, 90, 5
1749766630.212534900, 00:17:10.181853800, 21, 90, 5
1749766648.176239900, 00:17:28.139488700, 9, 90, 5
1749766671.589623500, 00:17:51.552413900, 13, 90, 5
1749766689.529475200, 00:18:09.491404500, 3, 90, 5
1749766707.688944200, 00:18:27.648789100, 12, 90, 5
1749766735.856005800, 00:18:55.816359200, 1, 90, 5
1749766757.996681800, 00:19:17.959506000, 10, 90, 5
1749766775.335306700, 00:19:35.297049100, 8, 90, 5
1749766810.442783600, 00:20:10.407022500, 25, 90, 5
1749766831.368719100, 00:20:31.318121600, 16, 90, 5
1749766860.389854100, 00:21:00.351625300, 15, 90, 5
1749766888.005065600, 00:21:27.966792100, 6, 90, 4
1749766906.333661700, 00:21:46.296142600, 23, 90, 5
1749766938.895090400, 00:22:18.860290900, 19, 90, 5
1749766963.253299200, 00:22:43.224245200, 18, 90, 5
1749766982.054666900, 00:23:02.016477300, 11, 90, 5
1749767004.002136300, 00:23:23.963682200, 26, 90, 5
1749767027.030260100, 00:23:46.989346100, 5, 90, 5
1749767059.488778500, 00:24:19.451165800, 7, 90, 5
1749767079.924673300, 00:24:39.873146500, 20, 90, 5
1749767099.382489700, 00:24:59.344270000, 24, 90, 5
1749767119.955945400, 00:25:19.917976800, 2, 90, 5
1749767161.562893800, 00:26:01.527234700, 14, 90, 5
1749767183.035380100, 00:26:22.997585000, 17, 90, 5
