Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721921086.677667600, 17:24:46.277864600, 9, 90, 4
1721921162.871274500, 17:26:01.711842500, 2, 90, 2
1721921247.775035200, 17:27:26.615849900, 26, 90, 5
1721921302.286777400, 17:28:21.147369400, 10, 90, 4
1721921384.637990500, 17:29:43.506630600, 1, 90, 2
1721921427.300019900, 17:30:26.135931600, 17, 90, 2
1721921475.837938600, 17:31:14.730485400, 6, 90, 5
1721921529.828129000, 17:32:08.655819700, 12, 90, 4
1721921582.950293900, 17:33:01.830848000, 25, 90, 3
1721921634.989945900, 17:33:53.837591600, 8, 90, 0
1721921869.553073400, 17:37:48.347351700, 18, 90, 3
1721921921.825736500, 17:38:40.650115600, 24, 90, 3
1721921972.607345700, 17:39:31.449192400, 21, 90, 4
1721922045.994439800, 17:40:44.307363000, 5, 90, 5
1721922165.393394400, 17:42:44.393976300, 3, 90, 2
1721922216.710793900, 17:43:35.551538200, 4, 90, 1
1721922255.391942700, 17:44:14.167416600, 16, 90, 1
1721922290.247823500, 17:44:49.044621000, 23, 90, 5
1721922356.222159000, 17:45:55.029966700, 13, 90, 2
1721922395.603037800, 17:46:34.475274100, 7, 90, 3
1721922456.531228400, 17:47:35.346413700, 20, 90, 4
1721922513.605831600, 17:48:32.420898100, 14, 90, 1
1721922553.479328200, 17:49:12.385730900, 15, 90, 1
1721922604.819406400, 17:50:03.676814300, 19, 90, 3
1721922659.088976200, 17:50:57.946642400, 22, 90, 4
1721922721.572870600, 17:52:00.399439300, 11, 90, 3
