Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749489341.425424200, 19:15:41.393956000, 22, 90, 1
1749489363.258345400, 19:16:03.212739300, 5, 90, 1
1749489381.471937300, 19:16:21.436100500, 21, 90, 1
1749489398.763667500, 19:16:38.727447200, 16, 90, 1
1749489415.909322400, 19:16:55.853404700, 19, 90, 5
1749489434.552951600, 19:17:14.525312500, 11, 90, 5
1749489450.290043700, 19:17:30.239248300, 10, 90, 2
1749489467.507139500, 19:17:47.447286500, 24, 90, 2
1749489484.843234900, 19:18:04.823962900, 23, 90, 5
1749489502.906266400, 19:18:22.869723800, 8, 90, 5
1749489539.046331000, 19:18:59.012397300, 17, 90, 2
1749489559.729225000, 19:19:19.672235800, 4, 90, 1
1749489579.661431300, 19:19:39.606490200, 13, 90, 1
1749489647.621506300, 19:20:47.608712600, 25, 90, 2
1749489664.837198200, 19:21:04.824657100, 26, 90, 1
1749489689.349184500, 19:21:29.318535800, 9, 90, 2
1749489706.148930000, 19:21:46.136965200, 6, 90, 5
1749489722.851289000, 19:22:02.794614000, 18, 90, 3
1749489741.198075900, 19:22:21.161369200, 20, 90, 3
1749489758.511063000, 19:22:38.469033700, 2, 90, 2
1749489787.152039700, 19:23:07.114745900, 12, 90, 2
1749489807.585649200, 19:23:27.547978400, 7, 90, 2
1749489824.981440600, 19:23:44.962805200, 15, 90, 5
1749489841.865699200, 19:24:01.806862800, 1, 90, 1
1749489858.618178500, 19:24:18.566559600, 14, 90, 2
1749489876.870621200, 19:24:36.834007200, 3, 90, 5
