Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720704632.459466400, 15:30:31.313779200, 22, 90, 4
1720704670.058084900, 15:31:08.948023500, 25, 90, 3
1720704705.057804500, 15:31:43.969800300, 5, 90, 2
1720704743.123000000, 15:32:21.972349200, 7, 90, 2
1720704777.923876800, 15:32:56.727796900, 15, 90, 3
1720704811.855865800, 15:33:30.712942700, 14, 90, 2
1720704847.425852400, 15:34:04.131697700, 13, 90, 2
1720704881.823461100, 15:34:40.731175300, 1, 90, 3
1720704914.833783500, 15:35:13.655514800, 11, 90, 3
1720704949.835175100, 15:35:48.705955700, 9, 90, 3
1720704982.914608200, 15:36:21.791169400, 24, 90, 4
1720705018.581012300, 15:36:56.909207900, 20, 90, 3
1720705051.630095400, 15:37:30.496589100, 19, 90, 3
1720705086.281158600, 15:38:05.146610400, 21, 90, 4
1720705119.147392800, 15:38:37.950667200, 10, 90, 2
1720705152.420725700, 15:39:11.322380900, 6, 90, 1
1720705185.677445400, 15:39:44.569295900, 26, 90, 3
1720705220.460360300, 15:40:19.275557400, 12, 90, 2
1720705256.019202300, 15:40:53.780808500, 17, 90, 2
1720705290.162858000, 15:41:29.038211200, 23, 90, 3
1720705326.164278900, 15:42:05.044169000, 16, 90, 3
1720705361.236932500, 15:42:40.090415700, 3, 90, 4
1720705395.813851300, 15:43:14.626200100, 4, 90, 3
1720705431.634451000, 15:43:50.481706400, 18, 90, 2
1720705464.765023400, 15:44:23.577150300, 8, 90, 2
1720705499.254428200, 15:44:58.125059200, 2, 90, 3
