Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721034511.717432300, 11:08:30.748630400, 9, 90, 3
1721034564.003927900, 11:09:22.770923700, 6, 90, 3
1721034600.834989400, 11:09:59.582800700, 22, 90, 5
1721034646.365778100, 11:10:45.112396900, 21, 90, 5
1721034682.312877700, 11:11:21.129464400, 1, 90, 4
1721034716.582107700, 11:11:55.389416300, 12, 90, 5
1721034753.485339200, 11:12:32.279059400, 18, 90, 4
1721034797.307358500, 11:13:16.057219500, 7, 90, 5
1721034834.403595400, 11:13:53.241675700, 2, 90, 4
1721034871.328921300, 11:14:30.140796100, 4, 90, 5
1721034905.596564400, 11:15:04.379675300, 20, 90, 4
1721034939.668479000, 11:15:37.892080300, 14, 90, 3
1721034972.667233700, 11:16:11.522766300, 23, 90, 5
1721035005.744078500, 11:16:44.494215800, 10, 90, 3
1721035043.239751700, 11:17:22.041663600, 5, 90, 4
1721035106.197675600, 11:18:25.012183300, 8, 90, 4
1721035148.924703200, 11:19:07.708099600, 13, 90, 3
1721035188.145579800, 11:19:46.917957500, 3, 90, 5
1721035224.301051400, 11:20:23.000508700, 26, 90, 4
1721035262.638988800, 11:21:01.407091000, 15, 90, 3
1721035298.377556500, 11:21:37.179429700, 19, 90, 5
1721035331.945163500, 11:22:10.743311000, 17, 90, 4
1721035367.829434600, 11:22:46.578565000, 16, 90, 5
1721035401.641334200, 11:23:20.419394300, 25, 90, 5
1721035437.068986100, 11:23:55.832267100, 24, 90, 4
1721035471.429611500, 11:24:30.278801800, 11, 90, 4
