Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720982433.116907800, 20:40:31.269097900, 13, 90, 3
1720982477.107379000, 20:41:15.900536300, 23, 90, 4
1720982514.040604400, 20:41:52.782347800, 20, 90, 5
1720982547.734188800, 20:42:26.529910700, 5, 90, 5
1720982590.284776400, 20:43:09.030823800, 10, 90, 4
1720982623.415503200, 20:43:42.153407300, 11, 90, 5
1720982658.260752000, 20:44:16.954569100, 18, 90, 4
1720982691.449903700, 20:44:50.140220100, 12, 90, 4
1720982730.738611600, 20:45:29.486423300, 1, 90, 3
1720982764.309465600, 20:46:03.120562500, 17, 90, 5
1720982798.672800200, 20:46:37.382735100, 14, 90, 3
1720982831.809159800, 20:47:10.505190700, 8, 90, 4
1720982865.028263900, 20:47:43.747528700, 26, 90, 5
1720982898.795448400, 20:48:17.503602700, 3, 90, 5
1720982942.826049000, 20:49:01.620971300, 16, 90, 3
1720982976.413905600, 20:49:35.212205700, 15, 90, 5
1720983009.878760800, 20:50:08.672139200, 7, 90, 4
1720983042.514696500, 20:50:41.291808200, 19, 90, 5
1720983076.968105100, 20:51:15.740238400, 25, 90, 4
1720983111.030656800, 20:51:49.757181700, 4, 90, 4
1720983147.747541900, 20:52:26.535412800, 22, 90, 5
1720983180.593750600, 20:52:59.298528200, 24, 90, 4
1720983213.688051100, 20:53:32.460728600, 21, 90, 5
1720983247.591911500, 20:54:06.382551400, 2, 90, 3
1720983297.300536700, 20:54:56.068660100, 9, 90, 5
1720983333.008152100, 20:55:31.791611600, 6, 90, 4
