Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749491624.451523900, 19:53:44.413456200, 11, 90, 2
1749491642.628818000, 19:54:02.590119200, 15, 90, 3
1749491669.247736400, 19:54:29.211642700, 5, 90, 4
1749491686.979384500, 19:54:46.941378400, 14, 90, 5
1749491703.521742100, 19:55:03.484566900, 24, 90, 5
1749491721.105941400, 19:55:21.069564000, 3, 90, 4
1749491741.167018200, 19:55:41.115448500, 20, 90, 5
1749491758.353301000, 19:55:58.315554400, 12, 90, 3
1749491775.791314000, 19:56:15.746188300, 2, 90, 5
1749491792.752055000, 19:56:32.698132400, 18, 90, 5
1749491821.824479200, 19:57:01.791537700, 6, 90, 5
1749491839.499714000, 19:57:19.462297000, 1, 90, 3
1749491855.713387500, 19:57:35.674554300, 9, 90, 4
1749491873.184424000, 19:57:53.157065500, 4, 90, 5
1749491890.424927600, 19:58:10.387791700, 10, 90, 4
1749491920.613469200, 19:58:40.576376300, 17, 90, 4
1749491997.563797300, 19:59:57.522374000, 25, 90, 4
1749492042.661820200, 20:00:42.622848700, 22, 90, 5
1749492060.419750700, 20:01:00.382389600, 23, 90, 3
1749492078.718234900, 20:01:18.666412100, 8, 90, 5
1749492104.865908200, 20:01:44.830848800, 21, 90, 4
1749492122.435539900, 20:02:02.393925400, 16, 90, 3
1749492139.561253400, 20:02:19.524952900, 7, 90, 5
1749492156.762036100, 20:02:36.724443800, 13, 90, 2
1749492173.918967700, 20:02:53.878633800, 26, 90, 5
1749492191.591644000, 20:03:11.553591500, 19, 90, 5
