NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
6,90,39,6.796164512634277,0.05248183801949742,3
26,90,29,6.705190896987915,0.10133246864591326,2
19,90,41,9.78959035873413,0.1020687633090549,3
17,90,30,6.757144927978516,0.09662922664924904,1
11,90,31,6.901982545852661,0.10683953537131255,3
22,90,37,9.99791431427002,0.09670758247375488,4
13,90,32,7.08556866645813,0.08984730378636774,2
5,90,26,6.929405450820923,0.08218241971114586,1
10,90,34,6.708796262741089,0.07129405907222203,1
8,90,29,6.939141750335693,0.0746057913853572,1
23,90,26,6.864218235015869,0.0924681822458903,2
25,90,33,6.691616058349609,0.10875611393539994,5
12,90,32,6.849595308303833,0.09874889585706922,1
2,90,13,6.650982856750488,0.12425653862230705,3
15,90,26,6.754674911499023,0.09608289291118753,3
20,90,36,6.919588088989258,0.09101894923618861,4
21,90,23,6.681964635848999,0.09133308441912541,4
3,90,31,6.743934154510498,0.06862408253881666,1
14,90,25,6.945777416229248,0.09615716287645243,1
9,90,36,6.757785320281982,0.08762691418329875,4
18,90,27,6.897104978561401,0.09050156302371268,3
16,90,27,6.62066912651062,0.09687386933019605,1
4,90,30,6.8385539054870605,0.08783564061829538,1
7,90,28,6.913588285446167,0.06532341137266996,3
1,90,9,7.31795859336853,0.15413998895221287,2
24,90,16,6.665486097335815,0.10218221208323604,2
