Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721047522.468499500, 14:45:21.385850100, 1, 90, 2
1721047579.953226300, 14:46:18.753909600, 8, 90, 2
1721047643.968255300, 14:47:22.655553200, 3, 90, 1
1721047689.378151200, 14:48:08.114240200, 14, 90, 1
1721047723.689961500, 14:48:42.446022700, 17, 90, 2
1721047756.831945500, 14:49:15.644368600, 12, 90, 1
1721047789.817421900, 14:49:48.449967700, 4, 90, 2
1721047822.770927600, 14:50:21.360673400, 24, 90, 2
1721047855.716042200, 14:50:54.024326000, 9, 90, 2
1721047888.720804100, 14:51:27.233661000, 21, 90, 3
1721047924.175425800, 14:52:02.972830000, 19, 90, 2
1721047964.371283900, 14:52:43.171984300, 20, 90, 1
1721047997.631830200, 14:53:16.366218300, 2, 90, 2
1721048031.172972000, 14:53:49.904995900, 23, 90, 2
1721048071.395696000, 14:54:30.172741100, 25, 90, 2
1721048108.084250000, 14:55:06.856787400, 16, 90, 1
1721048140.952262200, 14:55:39.506692500, 26, 90, 1
1721048182.582984300, 14:56:21.403252000, 13, 90, 1
1721048215.551898600, 14:56:54.097347400, 18, 90, 2
1721048256.881475300, 14:57:35.706931400, 5, 90, 3
1721048294.474108000, 14:58:13.299225400, 7, 90, 1
1721048333.736119300, 14:58:52.567762800, 15, 90, 2
1721048366.696488000, 14:59:25.414817000, 11, 90, 1
1721048399.688605300, 14:59:58.131807300, 22, 90, 3
1721048440.355607500, 15:00:39.105851600, 6, 90, 3
1721048478.771157100, 15:01:17.577976900, 10, 90, 1
