id_participant,task_type,sequence_number,complexity
17e2921d021f90519c5f013f7a97a533c2f916df323cdb9d17c53d6e15e92c28,Perception,20,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,4,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,25,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,3,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,16,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,6,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,11,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,7,2
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,18,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,12,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,23,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,5,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,8,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,19,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,13,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,2,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,1,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,20,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,21,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,17,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,26,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,22,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,24,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,15,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,9,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,14,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,10,4
1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,18,3
1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,9,5
1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,3,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,2,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,19,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,11,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,18,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,7,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,14,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,13,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,10,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,4,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,24,3
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,5,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,26,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,1,3
