id_participant,block,motivation,fatigue
17e2921d021f90519c5f013f7a97a533c2f916df323cdb9d17c53d6e15e92c28,0, Oui, Non
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,0, Oui, Oui
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,10, Oui, Oui
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,15, Oui, Oui
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,20, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,0, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,10, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,15, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,20, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,0, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,10, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,15, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,20, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,0, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,10, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,15, Non, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,20, Non, Oui
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,0, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,10, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,15, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,20, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,0, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,10, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,15, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,20, Oui, Non
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,0, Oui, Non
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,10, Oui, Oui
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,15, Oui, Oui
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,20, Oui, Non
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,0, Oui, Oui
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,10, Oui, Non
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,15, Oui, Oui
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,20, Oui, Non
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,0, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,10, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,15, Oui, Oui
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,20, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,0, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,10, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,15, Oui, Oui
576019667aacee504fc8ec9be03d25059dbedf3a9d95de1186c807cfb2de5391,20, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,0, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,10, Oui, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,15, Non, Oui
657abe56d7a5ed7a73cca6f4fc4778f8440af3ca5193548b05570254a530b92e,20, Non, Oui
6a72957dacd4e2eff9d23472cf6b934e5817afdf0a1f850ead6a914ebde60c44,0, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,0, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,10, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,15, Oui, Non
7d2f17f8f6cefbf140a3fece572be264e9c8db638d8cdd0c98dbb5c3c93d1a08,20, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,0, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,10, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,15, Oui, Non
9249de2c1ee231f09586f88157e7fcbd92ef93936143eabf6eb50b566b24ed59,20, Oui, Non
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,0, Oui, Non
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,10, Oui, Non
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,15, Oui, Oui
ccd6c9483fac068f6ccec880a7ffa5aa7918596e326bc0e8223326fda47331c5,20, Oui, Oui
