Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746021137.020637900, 15:52:17.011659000, 7, 90, 2
1746021157.231932300, 15:52:37.218800900, 22, 110, 3
1746021172.999985100, 15:52:52.989424700, 18, 70, 4
1746021194.750202100, 15:53:14.739337200, 21, 110, 3
1746021211.851387500, 15:53:31.838874800, 17, 70, 3
1746021233.571494800, 15:53:53.560433300, 4, 110, 2
1746021249.580997500, 15:54:09.570877300, 25, 70, 4
1746021271.372375400, 15:54:31.363564900, 24, 110, 3
1746021287.991629300, 15:54:47.980341500, 14, 70, 3
1746021310.042156100, 15:55:10.027810400, 16, 110, 3
1746021335.077261500, 15:55:35.064931600, 11, 90, 2
1746021352.866535600, 15:55:52.855133200, 6, 70, 3
1746021374.325543300, 15:56:14.316248900, 13, 90, 3
1746021391.747296700, 15:56:31.733372300, 10, 70, 3
1746021415.675419500, 15:56:55.663624100, 19, 110, 2
1746021439.927264000, 15:57:19.914795000, 26, 90, 3
1746021457.374330600, 15:57:37.363138200, 3, 110, 3
1746021473.829491800, 15:57:53.819646000, 2, 90, 3
1746021494.442026200, 15:58:14.429014000, 8, 110, 3
1746021510.712884300, 15:58:30.701398800, 9, 90, 3
1746021535.840660900, 15:58:55.830694200, 15, 70, 3
1746021557.260452800, 15:59:17.250616200, 23, 110, 2
1746021572.730837600, 15:59:32.719505700, 5, 90, 2
1746021590.456273600, 15:59:50.445869400, 20, 110, 3
1746021605.886099000, 16:00:05.873546900, 12, 70, 3
1746021627.770716500, 16:00:27.759573900, 1, 90, 3
