Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748886638.176865000, 19:50:38.171126000, 23, 70, 1
1748886658.430661000, 19:50:58.424856000, 11, 110, 1
1748886671.511144000, 19:51:11.504981000, 13, 90, 1
1748886687.566444000, 19:51:27.560653000, 17, 70, 1
1748886707.618478000, 19:51:47.612476000, 2, 110, 1
1748886720.924300000, 19:52:00.917901000, 7, 70, 1
1748886740.962676000, 19:52:20.956144000, 6, 90, 1
1748886759.310757000, 19:52:39.304595000, 16, 110, 1
1748886772.389212000, 19:52:52.382299000, 20, 70, 2
1748886792.438530000, 19:53:12.435817000, 26, 90, 2
1748886816.762823000, 19:53:36.756821000, 25, 110, 1
1748886829.845103000, 19:53:49.838969000, 3, 90, 1
1748886845.930833000, 19:54:05.924714000, 22, 70, 1
1748886865.985800000, 19:54:25.979721000, 8, 110, 1
1748886879.210710000, 19:54:39.204582000, 18, 70, 1
1748886909.260319000, 19:55:09.254596000, 14, 110, 1
1748886922.376921000, 19:55:22.370363000, 4, 70, 1
1748886942.436278000, 19:55:42.430601000, 10, 110, 1
1748886955.524411000, 19:55:55.518319000, 1, 70, 1
1748886975.631215000, 19:56:15.625205000, 19, 90, 1
1748887007.808130000, 19:56:47.802098000, 15, 70, 1
1748887027.859512000, 19:57:07.853369000, 21, 110, 1
1748887040.989511000, 19:57:20.983385000, 24, 90, 1
1748887057.126135000, 19:57:37.122741000, 5, 110, 1
1748887070.446310000, 19:57:50.440925000, 12, 90, 1
1748887086.649396000, 19:58:06.642947000, 9, 110, 1
