Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721043311.593877300, 13:35:10.333405600, 4, 70, 5
1721043374.091145200, 13:36:12.862682300, 25, 90, 3
1721043400.451874400, 13:36:39.248770400, 3, 110, 4
1721043423.810685100, 13:37:02.567798000, 16, 90, 4
1721043478.730060800, 13:37:57.511972900, 6, 110, 4
1721043508.383935300, 13:38:27.142978400, 11, 90, 3
1721043528.505622400, 13:38:47.276436100, 7, 70, 2
1721043556.288803400, 13:39:15.104494100, 18, 90, 3
1721043575.323808200, 13:39:34.101178900, 12, 110, 4
1721043591.245110000, 13:39:50.045060600, 23, 90, 4
1721043609.396934600, 13:40:08.160367200, 5, 110, 5
1721043625.188924900, 13:40:23.952424000, 8, 90, 4
1721043643.220809100, 13:40:42.032186500, 19, 70, 5
1721043676.088396600, 13:41:14.812388400, 13, 90, 4
1721043696.544639000, 13:41:35.341077400, 2, 70, 5
1721043718.157946600, 13:41:56.889360200, 1, 110, 4
1721043734.775836800, 13:42:13.559324700, 20, 70, 3
1721043756.174813200, 13:42:34.969012600, 21, 90, 4
1721043773.714079500, 13:42:52.516424600, 17, 70, 3
1721043801.594245800, 13:43:20.344877700, 26, 90, 4
1721043819.428461400, 13:43:38.246006400, 22, 110, 5
1721043835.241556700, 13:43:53.538730400, 24, 70, 4
1721043859.831474400, 13:44:18.636662100, 15, 90, 4
1721043877.763598700, 13:44:36.538858000, 9, 70, 3
1721043898.889720500, 13:44:57.701521400, 14, 110, 5
1721043914.157141900, 13:45:12.992193100, 10, 90, 4
