NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
4,70,15,7.7577714920043945,0.19838865598042807,5
25,90,15,6.786210775375366,0.14300807317097983,3
3,110,19,7.696173667907715,0.16106867790222168,4
6,110,11,3.0962533950805664,0.15093305110931396,4
11,90,12,3.222384214401245,0.11964310540093316,3
7,70,10,4.240325212478638,0.17565237392078747,2
18,90,12,3.877398729324341,0.1480482684241401,3
12,110,13,3.3292317390441895,0.1308479607105255,4
23,90,12,3.3131215572357178,0.15488704045613608,4
5,110,12,2.6322720050811768,0.1222089131673177,5
8,90,11,3.0876150131225586,0.16347498893737794,4
19,70,12,4.68835973739624,0.22575245963202584,5
13,90,14,4.059128999710083,0.13754854883466447,4
2,70,13,4.996623277664185,0.22449907660484314,5
1,110,16,4.55141019821167,0.22290825843811035,4
20,70,13,3.793853521347046,0.270464688539505,3
21,90,13,3.9580862522125244,0.18188107013702393,4
17,70,11,5.066640138626099,0.1674100637435913,3
26,90,13,4.125734567642212,0.1360313594341278,4
22,110,14,2.9386353492736816,0.16230716024126327,5
24,70,12,3.7074146270751953,0.2778255409664578,4
15,90,14,4.656874895095825,0.14042837279183523,4
9,70,11,3.4993202686309814,0.22808587551116943,3
14,110,15,3.5972001552581787,0.1798949639002482,5
10,90,14,3.5423460006713867,0.209392820085798,4
