Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720706787.298798500, 16:06:25.610025900, 2, 90, 5
1720706807.020379100, 16:06:45.875794200, 19, 70, 5
1720706870.115754900, 16:07:48.911055700, 11, 90, 5
1720706888.369360500, 16:08:07.217533100, 18, 110, 4
1720706934.158852300, 16:08:53.023727400, 7, 90, 5
1720706951.925268500, 16:09:10.826189200, 14, 70, 5
1720707002.122298300, 16:10:00.968744900, 13, 110, 4
1720707016.979322500, 16:10:15.823398300, 10, 90, 4
1720707035.563056300, 16:10:34.435828800, 4, 110, 5
1720707050.296935700, 16:10:49.204332300, 24, 90, 3
1720707080.353947700, 16:11:19.238651900, 5, 70, 5
1720707103.272340000, 16:11:42.154337700, 26, 90, 4
1720707120.736703300, 16:11:59.620519900, 1, 110, 3
1720707134.990254600, 16:12:13.888558100, 17, 70, 4
1720707156.040646600, 16:12:34.872468000, 8, 90, 4
1720707174.087428800, 16:12:52.921850900, 9, 70, 3
1720707195.776473400, 16:13:14.593403100, 6, 90, 5
1720707213.780745200, 16:13:32.684000200, 22, 70, 5
1720707235.456160100, 16:13:54.293893500, 16, 110, 4
1720707252.685979900, 16:14:11.587002200, 25, 70, 3
1720707273.602756000, 16:14:32.460969300, 23, 110, 4
1720707288.417142200, 16:14:47.304123400, 3, 70, 3
1720707309.960875900, 16:15:08.819379600, 12, 110, 3
1720707324.909319000, 16:15:23.713752500, 20, 90, 4
1720707346.981846900, 16:15:45.813290900, 15, 110, 5
1720707361.807199200, 16:16:00.695260600, 21, 90, 3
