NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
2,90,15,3.703564405441284,0.17354242006937662,5
19,70,17,3.2426562309265137,0.22347283363342285,5
11,90,17,3.926558494567871,0.16415315866470337,5
18,110,18,5.058276414871216,0.11070338884989421,4
7,90,18,5.001997947692871,0.2500944137573242,5
14,70,18,5.604910850524902,0.2598925431569417,5
13,110,20,8.734212398529053,0.00693964958190918,4
10,90,19,7.8892738819122314,0.062904953956604,4
4,110,19,6.221795082092285,0.17360341548919678,5
24,90,18,2.2979559898376465,0.16697017351786295,3
26,90,20,10.430238962173462,0.23642778396606445,4
1,110,17,2.7739336490631104,0.11018639802932739,3
17,70,18,3.240243434906006,0.2177107334136963,4
8,90,18,5.795158863067627,0.2320538361867269,4
9,70,20,10.337654113769531,0.05193972587585449,3
6,90,20,10.91176462173462,0.24509787559509277,5
16,110,20,4.767560720443726,0.14153027534484863,4
25,70,20,7.05529522895813,0.1981523036956787,3
23,110,20,4.957281112670898,0.04819011688232422,4
3,70,20,3.2134268283843994,0.21514463424682617,3
20,90,20,5.726462125778198,0.27353787422180176,4
15,110,20,4.394185781478882,0.03054952621459961,5
21,90,20,5.414309740066528,0.08097648620605469,3
