Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721813802.105173900, 11:36:40.987531800, 11, 70, 1
1721813829.218119100, 11:37:08.045628800, 12, 110, 2
1721813872.146322400, 11:37:51.101594000, 19, 70, 2
1721813896.718673900, 11:38:15.610547400, 3, 90, 1
1721813954.399705500, 11:39:13.266829000, 13, 110, 1
1721813969.406256700, 11:39:28.223661800, 10, 90, 3
1721813995.552222200, 11:39:54.372996800, 7, 70, 3
1721814016.900996400, 11:40:15.775676100, 5, 110, 4
1721814031.534212800, 11:40:30.384169600, 24, 90, 2
1721814049.961312300, 11:40:48.850437500, 6, 110, 3
1721814066.629689100, 11:41:05.412034900, 4, 90, 2
1721814083.646874100, 11:41:22.542393500, 15, 110, 3
1721814103.340458000, 11:41:42.200319300, 21, 70, 2
1721814124.943013000, 11:42:03.761528800, 23, 110, 3
1721814145.131967600, 11:42:24.006728300, 17, 70, 2
1721814166.314775600, 11:42:45.149014600, 14, 90, 2
1721814184.999549200, 11:43:03.885065300, 8, 110, 4
1721814203.746871000, 11:43:22.622751500, 2, 70, 5
1721814225.053390100, 11:43:43.900463900, 18, 90, 3
1721814243.165029100, 11:44:01.877870700, 25, 70, 3
1721814264.563443000, 11:44:23.461385500, 9, 90, 4
1721814283.074828700, 11:44:41.965469900, 1, 110, 1
1721814298.824234500, 11:44:57.583935000, 22, 70, 3
1721814320.572176700, 11:45:19.447660800, 20, 110, 3
1721814336.695439800, 11:45:35.563276400, 26, 90, 1
1721814355.365838100, 11:45:54.268283300, 16, 70, 2
