Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721117526.029282400, 10:12:04.778639800, 7, 90, 1
1721117554.423173200, 10:12:33.211168500, 19, 70, 1
1721117593.651316400, 10:13:12.413111300, 1, 90, 3
1721117615.856175400, 10:13:34.670994000, 8, 110, 2
1721117633.622412600, 10:13:52.413701000, 11, 90, 1
1721117651.231449200, 10:14:10.064276800, 10, 110, 1
1721117666.150149800, 10:14:24.939017300, 16, 70, 3
1721117689.718457200, 10:14:48.492999500, 23, 90, 2
1721117712.747175000, 10:15:11.511645400, 21, 70, 1
1721117735.025723000, 10:15:33.836586400, 26, 110, 1
1721117750.755601900, 10:15:49.549736100, 22, 90, 1
1721117768.625181200, 10:16:07.429802600, 15, 110, 3
1721117788.166578300, 10:16:26.946138900, 14, 90, 1
1721117805.619540700, 10:16:44.439303200, 9, 110, 1
1721117822.236023100, 10:17:00.954514500, 5, 70, 1
1721117844.452315300, 10:17:23.296437700, 17, 90, 1
1721117896.602734500, 10:18:15.362760300, 13, 70, 2
1721117920.887254000, 10:18:39.661928900, 12, 110, 1
1721117939.812056200, 10:18:58.570394700, 18, 90, 1
1721117958.411722800, 10:19:17.216197500, 25, 110, 1
1721117976.469162200, 10:19:35.135110600, 2, 70, 2
1721117998.352413500, 10:19:57.082726600, 3, 90, 1
1721118018.653916200, 10:20:17.457648200, 24, 70, 3
1721118044.407887900, 10:20:43.219267400, 20, 90, 3
1721118062.198506000, 10:21:00.988201300, 6, 70, 2
1721118084.403475900, 10:21:23.229962100, 4, 90, 3
