Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749043978.843162000, 15:32:58.837058000, 18, 110, 1
1749043997.980502000, 15:33:17.974076000, 24, 70, 3
1749044030.489778000, 15:33:50.483211000, 4, 110, 2
1749044046.112358000, 15:34:06.105573000, 12, 90, 2
1749044079.138813000, 15:34:39.132334000, 20, 110, 2
1749044094.338210000, 15:34:54.331589000, 9, 90, 3
1749044110.366791000, 15:35:10.360932000, 15, 70, 4
1749044130.546869000, 15:35:30.541061000, 19, 90, 4
1749044147.459109000, 15:35:47.452951000, 22, 70, 3
1749044167.431453000, 15:36:07.425231000, 26, 90, 2
1749044192.745990000, 15:36:32.740126000, 3, 70, 2
1749044212.773122000, 15:36:52.765979000, 23, 90, 2
1749044228.899127000, 15:37:08.893109000, 5, 70, 1
1749044259.581427000, 15:37:39.574811000, 14, 90, 2
1749044275.617527000, 15:37:55.611408000, 10, 110, 4
1749044295.518845000, 15:38:15.512947000, 13, 90, 2
1749044312.167039000, 15:38:32.161010000, 17, 70, 1
1749044332.254702000, 15:38:52.248869000, 11, 90, 2
1749044353.099615000, 15:39:13.093978000, 25, 110, 3
1749044366.185122000, 15:39:26.178982000, 8, 90, 3
1749044389.904566000, 15:39:49.898583000, 1, 110, 5
1749044403.088935000, 15:40:03.082737000, 7, 70, 3
1749044423.281580000, 15:40:23.275576000, 2, 110, 4
1749044436.433710000, 15:40:36.429498000, 16, 70, 2
1749044456.697229000, 15:40:56.691185000, 21, 90, 4
1749044472.851851000, 15:41:12.845333000, 6, 70, 2
