Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721980580.452461900, 09:56:19.232519200, 18, 90, 2
1721980635.378881600, 09:57:14.258418800, 25, 70, 3
1721980679.466782600, 09:57:58.348818500, 16, 90, 3
1721980704.583693200, 09:58:23.450848100, 23, 110, 3
1721980742.873352900, 09:59:01.703870300, 4, 90, 3
1721980826.340213600, 10:00:25.148778700, 22, 110, 3
1721980871.528812300, 10:01:10.385207300, 19, 70, 3
1721980947.345424200, 10:02:26.164222900, 26, 110, 3
1721980963.995743000, 10:02:42.815399800, 14, 70, 3
1721980985.949496700, 10:03:04.745579800, 12, 110, 3
1721981006.379679400, 10:03:25.262941800, 8, 70, 4
1721981035.298273500, 10:03:54.150935700, 2, 90, 2
1721981058.105726500, 10:04:16.988009000, 7, 70, 2
1721981082.307623900, 10:04:41.106354500, 21, 90, 2
1721981103.366141000, 10:05:02.081307500, 1, 110, 2
1721981126.471591500, 10:05:25.373559500, 3, 90, 2
1721981144.489038000, 10:05:43.332898500, 9, 70, 3
1721981183.192623800, 10:06:22.057529100, 10, 110, 3
1721981198.607759600, 10:06:37.450442400, 17, 90, 2
1721981215.711591700, 10:06:54.602488700, 15, 70, 2
1721981236.847790300, 10:07:15.717017700, 13, 90, 2
1721981255.449702600, 10:07:34.329585700, 11, 110, 2
1721981281.799912100, 10:08:00.637197600, 5, 90, 3
1721981428.078607100, 10:10:26.786779300, 6, 110, 2
1721981445.813982500, 10:10:44.684377100, 24, 70, 3
1721981467.830777100, 10:11:06.672631700, 20, 110, 3
