Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748437300.207627000, 15:01:40.201530000, 14, 110, 2
1748437323.044104000, 15:02:03.038247000, 26, 90, 2
1748437342.460068000, 15:02:22.453898000, 12, 70, 2
1748437363.749790000, 15:02:43.743701000, 7, 90, 3
1748437380.283005000, 15:03:00.277055000, 17, 110, 2
1748437395.265140000, 15:03:15.259177000, 3, 70, 1
1748437416.087295000, 15:03:36.081647000, 5, 90, 2
1748437432.395838000, 15:03:52.389992000, 16, 70, 3
1748437452.907917000, 15:04:12.901802000, 22, 110, 2
1748437466.243278000, 15:04:26.237019000, 6, 90, 4
1748437497.775083000, 15:04:57.768848000, 15, 70, 2
1748437517.991391000, 15:05:17.985660000, 18, 110, 1
1748437531.334489000, 15:05:31.328360000, 4, 90, 1
1748437570.707759000, 15:06:10.701847000, 20, 110, 2
1748437584.589614000, 15:06:24.583084000, 19, 90, 2
1748437609.514923000, 15:06:49.508926000, 9, 110, 1
1748437622.669597000, 15:07:02.663633000, 2, 90, 1
1748437638.876812000, 15:07:18.870878000, 11, 70, 2
1748437666.566351000, 15:07:46.560989000, 13, 90, 2
1748437682.757618000, 15:08:02.751623000, 1, 110, 3
1748437703.569065000, 15:08:23.563040000, 10, 90, 2
1748437720.120855000, 15:08:40.115005000, 23, 110, 2
1748437733.688507000, 15:08:53.682893000, 25, 90, 3
1748437749.988239000, 15:09:09.982125000, 24, 110, 2
1748437763.295738000, 15:09:23.289812000, 21, 90, 2
1748437779.486007000, 15:09:39.480084000, 8, 110, 2
