Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748436328.122318000, 14:45:28.116677000, 18, 70, 3
1748436351.141002000, 14:45:51.135161000, 14, 110, 2
1748436381.455981000, 14:46:21.449943000, 11, 90, 4
1748436432.633878000, 14:47:12.628169000, 7, 110, 4
1748436452.404872000, 14:47:32.399082000, 16, 90, 3
1748436469.217271000, 14:47:49.211252000, 5, 70, 3
1748436491.664380000, 14:48:11.658309000, 23, 90, 3
1748436508.634824000, 14:48:28.628619000, 4, 110, 3
1748436523.399679000, 14:48:43.393187000, 9, 70, 4
1748436544.104085000, 14:49:04.097534000, 2, 110, 3
1748436569.580948000, 14:49:29.575074000, 22, 70, 3
1748436590.140003000, 14:49:50.133887000, 21, 110, 4
1748436604.662162000, 14:50:04.656347000, 20, 90, 3
1748436621.949591000, 14:50:21.943860000, 1, 70, 2
1748436642.357459000, 14:50:42.351537000, 10, 110, 3
1748436664.715694000, 14:51:04.709490000, 17, 70, 3
1748436687.685931000, 14:51:27.680172000, 24, 90, 3
1748436703.995728000, 14:51:43.989474000, 12, 110, 4
1748436723.220336000, 14:52:03.217421000, 3, 70, 4
1748436754.192771000, 14:52:34.186839000, 6, 110, 3
1748436775.196761000, 14:52:55.190539000, 8, 70, 3
1748436795.755927000, 14:53:15.750364000, 26, 90, 4
1748436812.379962000, 14:53:32.373065000, 13, 70, 3
1748436835.034485000, 14:53:55.028019000, 19, 90, 4
1748436851.368980000, 14:54:11.362049000, 15, 110, 4
1748436864.693574000, 14:54:24.687383000, 25, 70, 3
