Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746019438.826341200, 15:23:58.814946900, 25, 110, 4
1746019461.302527900, 15:24:21.290601300, 5, 70, 3
1746019483.645100500, 15:24:43.633276400, 23, 110, 4
1746019500.376044700, 15:25:00.364426800, 3, 70, 3
1746019527.333050200, 15:25:27.316644500, 22, 110, 4
1746019543.148184500, 15:25:43.138975000, 20, 90, 4
1746019564.807708500, 15:26:04.796941000, 18, 70, 3
1746019587.086394300, 15:26:27.073910700, 1, 110, 3
1746019603.363706300, 15:26:43.352819500, 4, 90, 4
1746019624.128261900, 15:27:04.117249800, 26, 110, 4
1746019651.125281100, 15:27:31.114214700, 12, 90, 4
1746019673.671999400, 15:27:53.662356600, 13, 70, 3
1746019695.657146900, 15:28:15.639769300, 2, 90, 3
1746019713.244107600, 15:28:33.231933300, 8, 70, 4
1746019735.682631100, 15:28:55.671891800, 16, 90, 4
1746019763.033516300, 15:29:23.022739600, 24, 110, 4
1746019780.355497500, 15:29:40.344316000, 17, 70, 3
1746019802.035242400, 15:30:02.025662800, 14, 90, 3
1746019820.699133000, 15:30:20.685546600, 15, 70, 4
1746019842.441521200, 15:30:42.428413600, 21, 90, 3
1746019868.720922600, 15:31:08.711390000, 10, 110, 4
1746019887.973773600, 15:31:27.963010000, 7, 70, 4
1746019909.912898600, 15:31:49.901877100, 9, 90, 4
1746019927.432250000, 15:32:07.421935800, 6, 110, 5
1746019943.506435300, 15:32:23.495530200, 11, 90, 4
1746019964.980653600, 15:32:44.967771600, 19, 70, 4
