Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721291749.541006800, 10:35:48.588648400, 1, 110, 3
1721291825.551201300, 10:37:04.585573500, 15, 70, 4
1721291883.377035200, 10:38:02.428134500, 5, 90, 3
1721291903.005981500, 10:38:22.050252000, 8, 110, 3
1721291921.025798500, 10:38:40.091982300, 18, 70, 4
1721291955.074221800, 10:39:14.129722900, 13, 110, 2
1721291973.243250500, 10:39:32.307574300, 7, 90, 2
1721291990.983322000, 10:39:50.039475900, 14, 110, 3
1721292007.445780400, 10:40:06.503104500, 3, 90, 3
1721292025.012776700, 10:40:24.051513900, 17, 110, 4
1721292042.365744000, 10:40:41.426133700, 26, 70, 4
1721292063.597778000, 10:41:02.661153300, 4, 90, 3
1721292080.431505500, 10:41:19.512482300, 16, 70, 4
1721292102.453285100, 10:41:41.514377800, 9, 110, 3
1721292118.096816600, 10:41:57.178860300, 2, 90, 2
1721292134.980255400, 10:42:14.037700700, 19, 70, 3
1721292155.805393600, 10:42:34.852137000, 23, 110, 3
1721292170.395687000, 10:42:49.480396700, 20, 90, 3
1721292187.294408100, 10:43:06.320957600, 21, 70, 4
1721292207.987893400, 10:43:27.008785500, 22, 110, 3
1721292222.722778400, 10:43:41.791390900, 24, 70, 5
1721292258.258746100, 10:44:17.310902800, 6, 90, 4
1721292279.046106800, 10:44:38.097709600, 25, 110, 3
1721292292.945596500, 10:44:52.017232300, 11, 90, 3
1721292309.754847400, 10:45:08.826742000, 12, 110, 3
1721292324.408456100, 10:45:23.471729900, 10, 70, 4
