Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749228484.441909000, 18:48:04.435639000, 11, 70, 4
1749228504.627423000, 18:48:24.621200000, 2, 110, 2
1749228517.828071000, 18:48:37.822089000, 8, 90, 4
1749228534.106814000, 18:48:54.100625000, 13, 70, 3
1749228554.282151000, 18:49:14.276569000, 9, 110, 5
1749228567.380608000, 18:49:27.376066000, 10, 90, 3
1749228583.421436000, 18:49:43.415636000, 14, 70, 2
1749228603.576771000, 18:50:03.570421000, 18, 90, 5
1749228619.889433000, 18:50:19.883611000, 7, 110, 4
1749228634.515387000, 18:50:34.509353000, 15, 90, 4
1749228657.645318000, 18:50:57.639277000, 19, 110, 4
1749228671.349763000, 18:51:11.343703000, 17, 70, 2
1749228691.552377000, 18:51:31.546182000, 20, 110, 3
1749228705.244357000, 18:51:45.237875000, 1, 70, 2
1749228725.480351000, 18:52:05.474426000, 12, 90, 3
1749228747.356775000, 18:52:27.350832000, 3, 110, 5
1749228760.671363000, 18:52:40.665177000, 16, 90, 3
1749228776.754747000, 18:52:56.748910000, 25, 110, 3
1749228790.539371000, 18:53:10.533104000, 26, 70, 4
1749228810.695044000, 18:53:30.688933000, 6, 90, 4
1749228832.500466000, 18:53:52.494373000, 21, 110, 5
1749228845.634962000, 18:54:05.629618000, 4, 70, 3
1749228865.779142000, 18:54:25.773068000, 23, 110, 4
1749228879.101749000, 18:54:39.095243000, 24, 90, 3
1749228895.184189000, 18:54:55.177864000, 5, 70, 4
1749228915.273995000, 18:55:15.268508000, 22, 110, 5
