Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749230810.901417000, 19:26:50.891141300, 14, 90, 2
1749230835.604048300, 19:27:15.591271600, 24, 70, 3
1749230879.721306200, 19:27:59.708518200, 19, 90, 2
1749230913.393007100, 19:28:33.380492400, 5, 110, 1
1749230930.416758900, 19:28:50.405724700, 26, 70, 2
1749230954.413967400, 19:29:14.400410900, 25, 90, 1
1749230975.029893000, 19:29:35.016809200, 9, 70, 2
1749230997.178905500, 19:29:57.166036300, 17, 90, 1
1749231015.584539200, 19:30:15.574344800, 22, 110, 1
1749231032.535254000, 19:30:32.521824200, 13, 90, 1
1749231060.406015100, 19:31:00.395019500, 4, 110, 2
1749231077.054161100, 19:31:17.042455300, 15, 70, 2
1749231098.656010000, 19:31:38.645687900, 20, 90, 1
1749231116.860591200, 19:31:56.851718700, 10, 70, 2
1749231138.176654000, 19:32:18.164618500, 16, 110, 2
1749231161.110685900, 19:32:41.100416700, 6, 90, 2
1749231180.041542000, 19:33:00.029492400, 23, 70, 1
1749231202.399515800, 19:33:22.387919800, 11, 110, 1
1749231218.369009400, 19:33:38.359298100, 2, 70, 1
1749231240.970500300, 19:34:00.959557800, 1, 110, 1
1749231263.205435800, 19:34:23.196148800, 3, 70, 1
1749231284.937218800, 19:34:44.924069800, 7, 110, 1
1749231301.880660200, 19:35:01.871712500, 12, 90, 1
1749231319.565165000, 19:35:19.553618000, 8, 70, 2
1749231341.250933000, 19:35:41.236753500, 21, 90, 1
1749231359.264455400, 19:35:59.253461300, 18, 110, 1
