Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749231374.570226000, 19:36:14.563410000, 26, 70, 4
1749231394.686570000, 19:36:34.680519000, 11, 110, 5
1749231407.796621000, 19:36:47.791428000, 8, 90, 3
1749231424.130284000, 19:37:04.124032000, 22, 110, 3
1749231437.226256000, 19:37:17.220355000, 10, 70, 3
1749231461.430973000, 19:37:41.424846000, 15, 90, 4
1749231477.600691000, 19:37:57.594488000, 7, 110, 4
1749231490.712320000, 19:38:10.706320000, 3, 90, 3
1749231506.872223000, 19:38:26.866140000, 9, 70, 2
1749231526.952290000, 19:38:46.946180000, 20, 110, 4
1749231545.464940000, 19:39:05.458608000, 4, 90, 3
1749231561.733975000, 19:39:21.728060000, 13, 110, 3
1749231575.129238000, 19:39:35.123135000, 16, 90, 2
1749231591.158741000, 19:39:51.152663000, 12, 70, 2
1749231611.298484000, 19:40:11.292313000, 21, 110, 4
1749231630.518666000, 19:40:30.511791000, 18, 90, 4
1749231647.301937000, 19:40:47.295885000, 14, 70, 2
1749231667.389108000, 19:41:07.384822000, 5, 90, 3
1749231683.588534000, 19:41:23.581267000, 2, 110, 4
1749231698.537170000, 19:41:38.530766000, 25, 70, 2
1749231724.331983000, 19:42:04.324775000, 1, 90, 2
1749231740.705076000, 19:42:20.698448000, 6, 110, 4
1749231754.225043000, 19:42:34.218600000, 23, 90, 3
1749231770.402622000, 19:42:50.396256000, 17, 70, 2
1749231794.869703000, 19:43:14.863636000, 19, 90, 1
1749231810.929894000, 19:43:30.923889000, 24, 70, 3
