Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721295123.019092700, 11:32:02.076009700, 19, 90, 2
1721295171.965869600, 11:32:51.026365600, 7, 110, 4
1721295200.452245300, 11:33:19.516334100, 1, 70, 3
1721295235.100587200, 11:33:54.109726500, 17, 110, 2
1721295250.020379400, 11:34:09.096439000, 10, 70, 2
1721295277.016877300, 11:34:36.046815400, 21, 110, 2
1721295292.296507500, 11:34:51.346859500, 4, 70, 2
1721295313.182242600, 11:35:12.243878100, 5, 110, 1
1721295327.996680600, 11:35:27.087299900, 15, 70, 2
1721295348.530109800, 11:35:47.585086000, 16, 110, 2
1721295362.464227700, 11:36:01.481660100, 6, 90, 4
1721295379.270208000, 11:36:18.339936100, 26, 70, 2
1721295399.784921300, 11:36:38.854158500, 25, 90, 1
1721295420.296633400, 11:36:59.353084800, 12, 110, 1
1721295435.298649800, 11:37:14.385045200, 2, 90, 2
1721295454.804070000, 11:37:33.865612400, 9, 110, 2
1721295470.081875800, 11:37:49.140821300, 13, 90, 1
1721295486.865311200, 11:38:05.932375500, 8, 110, 1
1721295500.717651000, 11:38:19.779838500, 3, 90, 1
1721295517.196799600, 11:38:36.265847300, 14, 110, 2
1721295531.328499400, 11:38:50.392183800, 11, 90, 2
1721295550.645373900, 11:39:09.695163600, 22, 110, 2
1721295565.723851100, 11:39:24.757799800, 18, 90, 1
1721295582.616893300, 11:39:41.672125400, 20, 70, 1
1721295603.525360600, 11:40:02.587290600, 24, 90, 1
1721295620.522723300, 11:40:19.599164400, 23, 110, 1
