NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
26,70,0,1.407557725906372,0.21617017473493302,3
14,90,8,3.380528211593628,0.08014290149395283,2
24,110,12,2.891834020614624,0.16985623041788736,3
10,70,8,2.168543815612793,0.358060359954834,3
6,110,8,2.5589983463287354,0.0782475654895489,2
8,90,7,1.025561809539795,0.16125890186854772,2
5,110,7,1.1466138362884521,0.09019889150347028,3
15,70,12,3.036912679672241,0.2463369369506836,3
2,90,9,3.5947399139404297,0.13801862796147665,4
9,110,9,2.8403658866882324,0.1087242563565572,2
4,90,9,1.2274904251098633,0.09798834721247356,3
25,110,13,3.4747397899627686,0.1581215262413025,4
1,90,6,1.391571283340454,0.09688725471496581,3
13,70,8,3.0648045539855957,0.3560964510991023,2
19,90,10,3.827693462371826,0.14944308454340155,2
12,70,10,2.2964541912078857,0.28784487464211206,3
17,110,11,2.8468751907348633,0.13537766933441162,4
20,90,9,1.0734643936157227,0.11439504226048787,3
22,110,10,2.996119499206543,0.1334012204950506,4
21,90,8,1.1424329280853271,0.15348012630756086,4
16,110,8,2.1049094200134277,0.10786795616149902,4
3,70,1,1.4758520126342773,0.27529871463775635,3
11,110,7,1.7033758163452148,0.02431520393916539,2
23,90,4,0.7326362133026123,0.14049760033102596,4
18,70,1,1.0814666748046875,0.22652792930603027,3
7,110,7,0.9485635757446289,0.09636008739471436,2
