Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721121819.226278700, 11:23:37.994759500, 24, 110, 2
1721121877.654309000, 11:24:36.480947900, 14, 90, 1
1721121897.617602800, 11:24:56.440416000, 10, 110, 2
1721121941.797299400, 11:25:40.602696800, 21, 70, 4
1721121977.622936000, 11:26:16.418285800, 2, 90, 2
1721121996.907449600, 11:26:35.742612000, 12, 70, 1
1721122018.642448100, 11:26:57.451731300, 5, 90, 1
1721122036.236911300, 11:27:14.861968900, 4, 110, 1
1721122051.056682800, 11:27:29.832978800, 15, 70, 2
1721122073.454237400, 11:27:52.252043100, 16, 90, 2
1721122096.124044600, 11:28:14.928875900, 11, 70, 1
1721122118.549350600, 11:28:37.369064600, 8, 90, 2
1721122139.775989000, 11:28:58.539638300, 3, 70, 1
1721122161.139598500, 11:29:19.964385900, 22, 90, 1
1721122179.064601200, 11:29:37.854442900, 1, 70, 2
1721122200.792607600, 11:29:59.524443500, 6, 90, 1
1721122220.361362900, 11:30:19.191630400, 18, 110, 3
1721122250.663386500, 11:30:49.449613100, 13, 90, 1
1721122268.616748400, 11:31:07.431834600, 20, 70, 1
1721122290.564136100, 11:31:29.334490700, 9, 90, 2
1721122308.717981900, 11:31:47.506462700, 26, 110, 2
1721122338.944988100, 11:32:17.701670300, 7, 70, 1
1721122360.277150700, 11:32:39.075414000, 19, 110, 1
1721122374.572168500, 11:32:53.402059100, 17, 70, 2
1721122395.779423500, 11:33:14.573830500, 25, 110, 3
1721122414.192354200, 11:33:33.022349100, 23, 90, 2
