NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
24,110,17,2.3227672576904297,0.15229856967926025,2
14,90,14,1.962812900543213,0.04712155887058803,1
10,110,17,4.597100257873535,0.21225804090499878,2
21,70,20,3.0810301303863525,0.34754133224487305,4
2,90,19,4.788351058959961,0.10996544361114502,2
5,90,20,4.596593141555786,0.07007360458374023,1
4,110,15,2.9760048389434814,0.16549328962961832,1
15,70,20,4.9577906131744385,0.18506646156311035,2
16,90,18,-0.17721128463745117,0.18767166137695312,2
11,70,18,3.23042631149292,0.18856056531270346,1
8,90,20,3.555622100830078,0.2222888469696045,2
22,90,18,0.8101418018341064,0.20211029052734375,1
1,70,20,12.067342519760132,0.06734251976013184,2
6,90,18,4.1332032680511475,0.17970148722330728,1
13,90,20,5.4364659786224365,0.10313272476196289,1
9,90,19,6.07133150100708,0.121529221534729,2
26,110,15,2.9136245250701904,0.22069946924845377,2
7,70,5,1.707467794418335,0.18543465435504913,1
19,110,17,2.856618642807007,0.11902493238449097,1
23,90,20,3.4450466632843018,0.11171340942382812,2
