Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721809944.998026900, 10:32:23.523468300, 24, 70, 3
1721809983.726142000, 10:33:02.655616700, 11, 110, 2
1721810025.415625600, 10:33:44.338618300, 17, 90, 3
1721810049.849262200, 10:34:08.783031900, 3, 70, 3
1721810085.787105600, 10:34:44.630882200, 13, 110, 3
1721810103.686989800, 10:35:02.580232700, 16, 70, 3
1721810128.330278100, 10:35:27.242022800, 14, 90, 2
1721810149.133554700, 10:35:48.048737300, 7, 70, 2
1721810170.880684700, 10:36:09.798780000, 10, 90, 3
1721810190.367289400, 10:36:29.295509900, 12, 70, 3
1721810211.277062500, 10:36:50.199639900, 25, 90, 2
1721810228.754930900, 10:37:07.680249800, 15, 110, 3
1721810247.646818800, 10:37:26.589042200, 18, 70, 3
1721810268.437264000, 10:37:47.373680200, 21, 90, 3
1721810287.024871900, 10:38:05.906940500, 8, 110, 3
1721810303.193208500, 10:38:22.059284000, 1, 90, 3
1721810323.241973100, 10:38:42.176552300, 2, 110, 2
1721810340.853252600, 10:38:59.731053200, 22, 90, 2
1721810361.661662300, 10:39:20.564956100, 19, 70, 3
1721810382.460055500, 10:39:41.407010100, 5, 110, 3
1721810398.178810600, 10:39:57.119186600, 26, 70, 4
1721810420.543089900, 10:40:19.439567100, 9, 90, 4
1721810438.940880800, 10:40:37.856635200, 6, 110, 4
1721810453.435178100, 10:40:52.350660600, 4, 70, 3
1721810475.710280200, 10:41:14.608121400, 20, 110, 4
1721810490.359072400, 10:41:29.280616600, 23, 70, 3
