NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
24,70,19,10.83696699142456,0.30030691623687744,3
11,110,18,6.361327648162842,0.1987424691518148,2
3,70,11,6.439348936080933,0.3578845739364624,3
13,110,12,2.792156219482422,0.11586933665805393,3
16,70,9,3.5879604816436768,0.2372247576713562,3
14,90,7,2.7563376426696777,0.14658045768737793,2
7,70,-2,1.7516751289367676,0.2134030072585396,2
10,90,9,1.2099225521087646,0.1552579402923584,3
12,70,7,1.9841673374176025,0.28949643884386334,3
25,90,10,2.034914255142212,0.15248964049599387,2
15,110,13,3.2412869930267334,0.10059013962745667,3
18,70,3,0.8974912166595459,0.17957288689083523,3
21,90,11,2.9371888637542725,0.16274752616882324,3
8,110,13,0.9678192138671875,0.18038102984428406,3
1,90,7,1.1373915672302246,0.15530717372894287,3
2,110,9,0.9433803558349609,0.11875790357589722,2
22,90,12,3.8631317615509033,0.15749200185139975,2
19,70,10,4.3404505252838135,0.11419929157603871,3
5,110,18,6.2193193435668945,0.1401211420694987,3
26,70,12,4.063918590545654,0.17023955451117623,4
9,90,16,4.294459819793701,0.25215988159179686,4
6,110,15,4.219163656234741,0.12642371654510498,4
4,70,11,1.2140491008758545,0.2649183750152588,3
20,110,15,2.0722687244415283,0.12192761898040771,4
23,70,13,1.9797728061676025,0.1283172070980072,3
